,protid,P,S,C
0,x0000_X,13061,95878,6021
1,x0001_X,10029,67131,4650
2,x0002_X,8309,57632,4184
3,x0003_X,9500,65516,4784
4,x0004_X,10142,68432,5271
5,x0005_X,8879,62904,4853
6,x0006_X,9365,57912,4354
7,x0007_X,10328,69027,5723
8,x0008_X,11755,66752,5338
9,x0009_X,10750,64582,5269
10,x0010_X,9753,53210,4198
11,x0011_X,9261,55567,4550
12,x0012_X,11309,66752,6605
13,x0013_X,9904,62806,5896
14,x0014_X,10417,66974,6045
15,x0015_X,10906,65936,5373
16,x0016_X,9654,62965,5591
17,x0017_X,9395,60648,4648
18,x0018_X,10807,64890,5306
19,x0019_X,10464,66292,5459
20,x0020_X,10711,61493,5611
21,x0021_X,8490,47789,4099
22,x0022_X,9889,57470,5031
23,x0023_X,9725,62815,4881
24,x0024_X,10947,65041,5822
25,x0025_X,10296,62838,5472
26,x0026_X,9677,61534,4644
27,x0027_X,12221,67251,6019
28,x0028_X,12848,71219,6458
29,x0029_X,10596,63300,5505
30,x0030_X,11943,71046,6687
31,x0031_X,10034,57279,4697
32,x0032_X,13156,83006,7123
33,x0033_X,10926,70814,6250
34,x0034_X,12927,76997,7096
35,x0035_X,11650,69580,5923
36,x0036_X,12206,67257,6028
37,x0037_X,11006,65213,5996
38,x0038_X,11754,67068,6256
39,x0039_X,12330,71209,6137
40,x0040_X,14612,76864,6870
41,x0041_X,12643,68695,6233
42,x0042_X,14148,80235,6642
43,x0043_X,13682,76526,6812
44,x0044_X,12605,67782,5933
45,x0045_X,12993,73884,6651
46,x0046_X,14379,75293,6908
47,x0047_X,12406,71083,6611
48,x0048_X,12274,68169,6710
49,x0049_X,12936,73868,7591
50,x0050_X,12404,67059,6028
51,x0051_X,13623,71510,6673
52,x0052_X,13211,70331,6134
53,x0053_X,13539,72108,5731
54,x0054_X,14415,78940,7221
55,x0055_X,15321,73888,7811
56,x0056_X,13690,79100,7786
57,x0057_X,14929,81258,8009
58,x0058_X,16929,83540,9277
59,x0059_X,15109,82504,9340
60,x0060_X,16084,82146,9186
61,x0061_X,16700,87750,9553
62,x0062_X,16900,90447,10023
63,x0063_X,16862,87326,9815
64,x0064_X,16149,81928,9339
65,x0065_X,16513,82341,9026
66,x0066_X,14144,75491,7385
67,x0067_X,14282,79514,8130
68,x0068_X,16974,89720,10192
69,x0069_X,15395,82897,9124
70,x0070_X,17136,87148,10197
71,x0071_X,14900,76189,9039
72,x0072_X,14280,76868,8980
73,x0073_X,14816,80879,9875
74,x0074_X,16597,86246,10207
75,x0075_X,14327,76595,9654
76,x0076_X,12740,72174,7751
77,x0077_X,14205,76038,8547
78,x0078_X,12340,63640,7456
79,x0079_X,15145,80033,9018
80,x0080_X,15284,78493,9963
81,x0081_X,14885,73777,9241
82,x0082_X,16584,85091,12806
83,x0083_X,16196,84721,11658
84,x0084_X,16476,80889,12381
85,x0085_X,16322,83728,10635
86,x0086_X,15652,83257,10369
87,x0087_X,17044,85908,12488
88,x0088_X,15013,79146,9581
89,x0089_X,14179,74601,9123
90,x0090_X,17782,94186,11288
91,x0091_X,15922,80187,10382
92,x0092_X,16416,85746,11364
93,x0093_X,15196,80196,10178
94,x0094_X,16376,82821,11959
95,x0095_X,14444,75978,9706
96,x0096_X,16071,84193,10421
97,x0097_X,16663,82559,11934
98,x0098_X,17870,89525,12900
99,x0099_X,16394,80363,11588
100,x0100_X,14510,77814,9602
101,x0101_X,17372,89418,11551
102,x0102_X,14137,73183,9260
103,x0103_X,14234,77544,10148
104,x0104_X,14937,75826,10262
105,x0105_X,15629,79891,10971
106,x0106_X,16812,85310,12359
107,x0107_X,16496,86232,12232
108,x0108_X,17188,81031,11527
109,x0109_X,18496,96120,13149
110,x0110_X,16638,82898,12092
111,x0111_X,17962,90462,12854
112,x0112_X,18416,89227,13635
