,protid,P,S,C
0,x0000_X,49,192,12
1,x0001_X,29,196,6
2,x0002_X,17,249,10
3,x0003_X,50,291,10
4,x0004_X,36,276,13
5,x0005_X,44,295,12
6,x0006_X,33,414,18
7,x0007_X,34,326,18
8,x0008_X,58,387,20
9,x0009_X,52,365,18
10,x0010_X,52,335,19
11,x0011_X,87,391,18
12,x0012_X,76,428,24
13,x0013_X,37,324,17
14,x0014_X,42,346,18
15,x0015_X,32,255,13
16,x0016_X,29,363,14
17,x0017_X,39,349,18
18,x0018_X,52,306,20
19,x0019_X,61,447,20
20,x0020_X,55,304,19
21,x0021_X,38,277,10
22,x0022_X,59,420,17
23,x0023_X,45,292,14
24,x0024_X,83,392,21
25,x0025_X,79,418,31
26,x0026_X,61,443,24
27,x0027_X,98,469,28
28,x0028_X,113,527,26
29,x0029_X,119,519,28
30,x0030_X,79,462,20
31,x0031_X,132,506,28
32,x0032_X,144,604,32
33,x0033_X,113,606,22
34,x0034_X,193,816,26
35,x0035_X,118,635,27
36,x0036_X,138,504,24
37,x0037_X,193,763,34
38,x0038_X,143,533,27
39,x0039_X,178,737,31
40,x0040_X,178,648,35
41,x0041_X,189,730,27
42,x0042_X,182,824,29
43,x0043_X,207,981,37
44,x0044_X,168,880,33
45,x0045_X,190,902,36
46,x0046_X,167,870,44
47,x0047_X,162,920,46
48,x0048_X,176,1038,61
49,x0049_X,198,1108,72
50,x0050_X,246,1131,54
51,x0051_X,209,962,54
52,x0052_X,203,888,37
53,x0053_X,219,1422,70
54,x0054_X,204,1261,75
55,x0055_X,118,1079,78
56,x0056_X,135,1037,53
57,x0057_X,79,753,29
58,x0058_X,234,1276,86
59,x0059_X,211,1037,78
60,x0060_X,212,1148,71
61,x0061_X,248,1373,90
62,x0062_X,225,1141,65
63,x0063_X,272,1367,72
64,x0064_X,270,1357,84
65,x0065_X,282,1366,122
66,x0066_X,246,1271,79
67,x0067_X,219,1234,87
68,x0068_X,252,1081,45
69,x0069_X,216,1204,65
70,x0070_X,216,1256,68
71,x0071_X,245,1332,76
72,x0072_X,282,1681,117
73,x0073_X,214,1562,115
74,x0074_X,263,1473,94
75,x0075_X,245,1502,83
76,x0076_X,250,1392,69
77,x0077_X,221,1396,94
78,x0078_X,264,1613,139
79,x0079_X,275,1640,101
80,x0080_X,262,1422,86
81,x0081_X,258,1545,88
82,x0082_X,329,1532,155
83,x0083_X,312,1598,170
84,x0084_X,327,1610,143
85,x0085_X,364,1758,156
86,x0086_X,284,1743,118
87,x0087_X,390,2057,181
88,x0088_X,371,1796,179
89,x0089_X,310,1802,99
90,x0090_X,264,1540,87
91,x0091_X,236,1571,84
92,x0092_X,289,1632,95
93,x0093_X,365,2123,213
94,x0094_X,406,2031,191
95,x0095_X,335,1855,225
96,x0096_X,319,1915,112
97,x0097_X,265,1524,102
98,x0098_X,416,2187,247
99,x0099_X,294,1898,154
100,x0100_X,280,1691,109
101,x0101_X,282,1751,112
102,x0102_X,245,1438,87
103,x0103_X,301,1872,105
104,x0104_X,286,1743,116
105,x0105_X,255,1693,132
106,x0106_X,343,1939,133
107,x0107_X,293,1710,142
108,x0108_X,295,1594,127
109,x0109_X,342,1994,149
110,x0110_X,256,1545,90
111,x0111_X,288,1544,121
112,x0112_X,300,1704,141
113,x0113_X,300,1746,99
114,x0114_X,285,1758,102
115,x0115_X,313,1745,153
116,x0116_X,364,1973,148
117,x0117_X,296,1844,138
118,x0118_X,315,1758,138
119,x0119_X,258,1807,146
120,x0120_X,395,2168,138
121,x0121_X,326,2086,144
122,x0122_X,340,1921,154
123,x0123_X,319,1965,131
124,x0124_X,305,1838,135
125,x0125_X,228,1486,116
126,x0126_X,332,1818,128
127,x0127_X,347,1903,165
128,x0128_X,356,1856,134
129,x0129_X,331,1621,128
130,x0130_X,467,2378,236
131,x0131_X,304,1652,124
132,x0132_X,284,1676,120
133,x0133_X,389,2067,172
134,x0134_X,369,1878,168
135,x0135_X,363,1953,169
136,x0136_X,385,2160,156
137,x0137_X,300,1695,150
138,x0138_X,321,1822,135
139,x0139_X,245,1363,103
140,x0140_X,296,1729,120
141,x0141_X,377,2100,151
142,x0142_X,367,1904,144
143,x0143_X,391,1877,147
144,x0144_X,361,1890,164
145,x0145_X,410,2309,207
146,x0146_X,444,2271,211
147,x0147_X,313,1859,174
148,x0148_X,390,2023,143
149,x0149_X,474,2187,189
150,x0150_X,394,2196,185
151,x0151_X,506,2438,216
152,x0152_X,445,2348,210
153,x0153_X,358,1673,180
154,x0154_X,428,2398,177
155,x0155_X,431,2318,177
156,x0156_X,421,2385,197
157,x0157_X,484,2470,206
158,x0158_X,547,2794,229
159,x0159_X,516,2617,270
160,x0160_X,586,3058,272
161,x0161_X,457,2285,184
162,x0162_X,377,2061,190
163,x0163_X,434,2069,198
164,x0164_X,433,2415,233
165,x0165_X,466,2402,213
166,x0166_X,499,2591,231
167,x0167_X,521,2591,291
168,x0168_X,509,2607,287
169,x0169_X,531,2498,292
170,x0170_X,557,2848,250
171,x0171_X,655,2925,336
