,protid,P,S,C
0,x0000_X,11571,85799,5461
1,x0001_X,8766,57126,4233
2,x0002_X,7261,47582,3810
3,x0003_X,8126,53284,4293
4,x0004_X,8779,56267,4705
5,x0005_X,7557,50947,4331
6,x0006_X,7739,44764,3777
7,x0007_X,8710,55536,5132
8,x0008_X,9770,52985,4773
9,x0009_X,9028,51232,4720
10,x0010_X,7957,41667,3677
11,x0011_X,7253,43106,3926
12,x0012_X,9084,52680,5764
13,x0013_X,8156,50472,5275
14,x0014_X,8726,54040,5499
15,x0015_X,9330,54108,4827
16,x0016_X,8153,50326,5067
17,x0017_X,7833,48139,4059
18,x0018_X,9066,52976,4753
19,x0019_X,8531,52300,4872
20,x0020_X,8834,49658,5054
21,x0021_X,7042,38396,3703
22,x0022_X,8098,44658,4535
23,x0023_X,8158,50990,4398
24,x0024_X,8846,51740,5117
25,x0025_X,8289,50186,4715
26,x0026_X,7913,48511,3954
27,x0027_X,9931,53147,5187
28,x0028_X,10384,56092,5534
29,x0029_X,8352,48728,4696
30,x0030_X,9893,56865,6013
31,x0031_X,7826,43839,3946
32,x0032_X,10602,66245,6181
33,x0033_X,8781,55450,5520
34,x0034_X,9910,58340,6055
35,x0035_X,9316,53851,5098
36,x0036_X,9759,52935,5202
37,x0037_X,8273,49238,4970
38,x0038_X,9317,52407,5437
39,x0039_X,9284,53115,5129
40,x0040_X,11359,58943,5943
41,x0041_X,9587,51531,5312
42,x0042_X,11001,61224,5590
43,x0043_X,10324,56329,5737
44,x0044_X,9379,49419,4748
45,x0045_X,9893,54450,5408
46,x0046_X,10952,55891,5547
47,x0047_X,9561,51607,5262
48,x0048_X,9265,49034,5247
49,x0049_X,9626,52666,5973
50,x0050_X,8983,47067,4676
51,x0051_X,10230,51757,5174
52,x0052_X,9879,51876,5040
53,x0053_X,9849,49442,4255
54,x0054_X,10883,56028,5479
55,x0055_X,12054,53324,6253
56,x0056_X,10359,57621,6325
57,x0057_X,12111,61994,6898
58,x0058_X,12555,59538,7308
59,x0059_X,11451,60878,7471
60,x0060_X,12250,59753,7398
61,x0061_X,12209,62956,7456
62,x0062_X,12569,66560,8024
63,x0063_X,12413,62899,7716
64,x0064_X,11708,57657,7271
65,x0065_X,11902,57941,6793
66,x0066_X,10126,52875,5634
67,x0067_X,10481,56538,6134
68,x0068_X,12668,66202,8283
69,x0069_X,11478,59558,7174
70,x0070_X,12840,62958,8047
71,x0071_X,10688,53194,6994
72,x0072_X,10077,51910,6648
73,x0073_X,10742,55695,7483
74,x0074_X,11958,60767,7876
75,x0075_X,10081,52594,7450
76,x0076_X,8913,49793,5914
77,x0077_X,10268,52907,6576
78,x0078_X,8606,41725,5280
79,x0079_X,10821,55102,6848
80,x0080_X,10965,54819,7752
81,x0081_X,10527,50196,7173
82,x0082_X,11841,59812,9753
83,x0083_X,11530,59181,8690
84,x0084_X,11632,56011,9385
85,x0085_X,11331,57078,7836
86,x0086_X,11097,56898,7860
87,x0087_X,11490,57089,9236
88,x0088_X,10203,53109,6813
89,x0089_X,9763,49436,6867
90,x0090_X,12878,67017,8936
91,x0091_X,11532,55685,8249
92,x0092_X,11648,59907,9046
93,x0093_X,10226,52781,7118
94,x0094_X,10876,54696,8733
95,x0095_X,9588,49874,6604
96,x0096_X,11132,56770,7953
97,x0097_X,11956,57348,9302
98,x0098_X,12099,59381,9121
99,x0099_X,11330,53779,8811
100,x0100_X,10006,52813,7306
101,x0101_X,12478,62403,8964
102,x0102_X,9988,50329,7211
103,x0103_X,9774,51449,7783
104,x0104_X,10393,51183,7802
105,x0105_X,11136,55025,8530
106,x0106_X,11626,57815,9562
107,x0107_X,11685,59634,9282
108,x0108_X,12212,56010,8806
