,protid,P,S,C
0,x0000_X,19386,56011,5204
1,x0001_X,14384,37251,3976
2,x0002_X,9948,26339,3334
3,x0003_X,10566,29379,3420
4,x0004_X,9763,25888,3130
5,x0005_X,13219,32926,4258
6,x0006_X,11011,24546,3224
7,x0007_X,11044,27107,3465
8,x0008_X,12720,26179,3587
9,x0009_X,14285,27243,5137
10,x0010_X,15958,29146,5617
11,x0011_X,18799,33390,6464
12,x0012_X,18507,32407,6039
13,x0013_X,20352,37644,6624
14,x0014_X,18464,30616,5535
15,x0015_X,17375,30166,5434
16,x0016_X,18016,33512,6442
17,x0017_X,18562,29834,5560
18,x0018_X,17487,33130,4994
19,x0019_X,19742,32903,4646
20,x0020_X,20246,35936,4893
21,x0021_X,22168,37641,5532
22,x0022_X,23251,40926,6323
23,x0023_X,19846,38119,4870
24,x0024_X,18954,40433,5233
25,x0025_X,17803,34630,4183
26,x0026_X,15677,38130,4163
27,x0027_X,15098,31320,3352
28,x0028_X,15430,37926,4274
29,x0029_X,13627,38214,4775
30,x0030_X,13585,38680,4688
31,x0031_X,15202,41887,5039
32,x0032_X,15051,33018,4581
33,x0033_X,17248,38662,5515
34,x0034_X,16944,40620,7056
35,x0035_X,18368,39803,5732
36,x0036_X,19949,39541,7305
37,x0037_X,18074,36956,6746
38,x0038_X,20234,39240,7321
39,x0039_X,21590,40658,6387
40,x0040_X,18678,39857,6806
41,x0041_X,13948,35332,5335
42,x0042_X,18987,37966,8027
43,x0043_X,18189,43890,9552
44,x0044_X,18163,39179,7638
45,x0045_X,17755,39733,7492
46,x0046_X,21126,44655,9297
47,x0047_X,18677,39251,9233
48,x0048_X,18143,42464,6921
49,x0049_X,15160,35930,6540
50,x0050_X,18976,40018,6347
51,x0051_X,14661,36364,4920
52,x0052_X,15482,36188,5283
53,x0053_X,17408,36712,6606
54,x0054_X,15116,32547,5312
55,x0055_X,18610,40033,5977
56,x0056_X,18156,39560,5830
57,x0057_X,20851,38483,6007
58,x0058_X,15020,37701,4909
59,x0059_X,18671,38703,5816
60,x0060_X,18798,37947,5736
61,x0061_X,16818,36438,5740
62,x0062_X,18176,43537,5815
63,x0063_X,17528,35062,5380
64,x0064_X,19674,43247,6457
65,x0065_X,20100,42897,6754
66,x0066_X,18876,40295,5809
67,x0067_X,19680,39600,6061
68,x0068_X,16581,37012,5403
69,x0069_X,18710,37982,5436
70,x0070_X,18558,36669,4804
71,x0071_X,21011,39871,5913
72,x0072_X,18050,42470,6275
73,x0073_X,20578,41409,5909
