,protid,P,S,C
0,x0000_X,36,147,7
1,x0001_X,52,190,11
2,x0002_X,82,145,4
3,x0003_X,71,201,4
4,x0004_X,108,213,4
5,x0005_X,62,256,7
6,x0006_X,68,159,4
7,x0007_X,84,255,12
8,x0008_X,118,368,10
9,x0009_X,132,418,11
10,x0010_X,108,348,9
11,x0011_X,104,349,12
12,x0012_X,109,343,13
13,x0013_X,129,416,16
14,x0014_X,156,429,10
15,x0015_X,126,358,12
16,x0016_X,162,481,23
17,x0017_X,136,459,35
18,x0018_X,126,470,34
19,x0019_X,182,490,31
20,x0020_X,174,477,52
21,x0021_X,207,637,59
22,x0022_X,247,519,54
23,x0023_X,262,563,36
24,x0024_X,245,631,70
25,x0025_X,282,467,31
26,x0026_X,171,584,25
27,x0027_X,244,674,28
28,x0028_X,235,668,43
29,x0029_X,156,663,42
30,x0030_X,163,781,46
31,x0031_X,155,593,32
32,x0032_X,300,859,66
33,x0033_X,265,903,57
34,x0034_X,215,601,45
35,x0035_X,311,946,69
36,x0036_X,246,860,70
37,x0037_X,198,773,64
38,x0038_X,274,1026,78
39,x0039_X,321,1135,84
40,x0040_X,220,888,68
41,x0041_X,224,999,52
42,x0042_X,211,814,56
43,x0043_X,255,1136,94
44,x0044_X,218,1041,67
45,x0045_X,200,954,71
46,x0046_X,205,942,78
47,x0047_X,137,667,57
48,x0048_X,204,802,75
49,x0049_X,127,570,44
50,x0050_X,182,890,56
51,x0051_X,177,1100,49
52,x0052_X,190,1013,72
53,x0053_X,254,1025,99
54,x0054_X,161,866,54
55,x0055_X,204,1007,64
56,x0056_X,214,1134,83
57,x0057_X,178,898,52
58,x0058_X,169,861,51
59,x0059_X,202,779,54
60,x0060_X,148,890,43
61,x0061_X,167,863,51
62,x0062_X,166,1010,49
63,x0063_X,193,1023,59
64,x0064_X,241,1044,93
65,x0065_X,188,1023,64
66,x0066_X,216,1088,74
67,x0067_X,297,1119,124
68,x0068_X,229,914,82
69,x0069_X,232,957,86
70,x0070_X,276,1082,73
71,x0071_X,211,942,72
72,x0072_X,276,1063,92
73,x0073_X,220,975,80
74,x0074_X,312,1083,90
75,x0075_X,431,1245,154
76,x0076_X,288,1137,115
77,x0077_X,247,1094,90
78,x0078_X,259,1058,61
79,x0079_X,378,1133,85
80,x0080_X,343,1263,105
81,x0081_X,290,1097,98
82,x0082_X,342,1227,84
83,x0083_X,281,1034,63
84,x0084_X,300,1112,73
85,x0085_X,314,1236,103
86,x0086_X,335,1261,115
87,x0087_X,317,1157,122
