,protid,P,S,C
0,x0000_X,17482,46151,4632
1,x0001_X,12017,27086,3383
2,x0002_X,7591,18272,2817
3,x0003_X,8188,20495,2943
4,x0004_X,7114,16871,2580
5,x0005_X,10343,22971,3814
6,x0006_X,8395,16555,2780
7,x0007_X,8312,18004,2845
8,x0008_X,9280,16426,2974
9,x0009_X,10666,16894,4318
10,x0010_X,12168,18794,4816
11,x0011_X,14867,22287,5624
12,x0012_X,14322,21499,5220
13,x0013_X,15955,25392,5624
14,x0014_X,14009,19310,4631
15,x0015_X,13356,19489,4556
16,x0016_X,13529,21079,5295
17,x0017_X,13949,18689,4490
18,x0018_X,13192,20985,3773
19,x0019_X,14794,20909,3637
20,x0020_X,15378,23635,3765
21,x0021_X,16639,23512,4102
22,x0022_X,17310,27018,4813
23,x0023_X,14717,24673,3681
24,x0024_X,13828,25787,3750
25,x0025_X,12679,22595,3229
26,x0026_X,11781,24720,3402
27,x0027_X,10657,18433,2536
28,x0028_X,11087,23576,3287
29,x0029_X,10018,23362,3476
30,x0030_X,10194,23266,3396
31,x0031_X,11538,26852,3805
32,x0032_X,10333,18597,3201
33,x0033_X,12296,22293,4192
34,x0034_X,12619,25661,5676
35,x0035_X,12977,22936,4273
36,x0036_X,14634,22990,5447
37,x0037_X,13694,21683,5093
38,x0038_X,14629,21998,5278
39,x0039_X,15527,22965,4579
40,x0040_X,14007,23508,5263
41,x0041_X,10098,19613,3959
42,x0042_X,14242,22291,6245
43,x0043_X,13346,25014,7091
44,x0044_X,13605,21788,5648
45,x0045_X,13606,22640,5659
46,x0046_X,16338,26586,7162
47,x0047_X,14735,23938,7383
48,x0048_X,13816,25632,5103
49,x0049_X,11753,22175,5132
50,x0050_X,14528,23358,4600
51,x0051_X,10884,19381,3405
52,x0052_X,11824,19902,3785
53,x0053_X,12875,20057,4743
54,x0054_X,11636,17601,3916
55,x0055_X,14266,22311,4178
56,x0056_X,13748,21818,4055
57,x0057_X,16097,21799,4299
58,x0058_X,11388,21830,3367
59,x0059_X,14368,22856,4104
60,x0060_X,14667,21649,4154
61,x0061_X,12970,21053,4203
62,x0062_X,13822,25625,4213
63,x0063_X,13359,18964,3723
64,x0064_X,14581,25169,4503
65,x0065_X,15691,24798,4962
66,x0066_X,14172,22710,4159
67,x0067_X,14026,21477,4118
68,x0068_X,12187,20464,3664
69,x0069_X,13674,21104,3725
70,x0070_X,13274,19677,3095
71,x0071_X,16062,22754,4255
72,x0072_X,13108,23922,4298
73,x0073_X,15464,23413,3901
74,x0074_X,16550,25460,5268
75,x0075_X,14383,21837,4250
76,x0076_X,14662,21708,4385
77,x0077_X,13943,22529,3998
78,x0078_X,15316,23683,3779
79,x0079_X,13830,21461,3490
80,x0080_X,13286,21203,3461
81,x0081_X,11795,21564,3769
82,x0082_X,15733,23950,4570
83,x0083_X,13462,25837,4361
84,x0084_X,11744,19330,3906
85,x0085_X,15602,26263,5106
86,x0086_X,13991,21685,4510
87,x0087_X,11987,23813,3821
88,x0088_X,14773,30588,5360
89,x0089_X,15504,33166,5615
90,x0090_X,14178,25681,4991
91,x0091_X,19506,36606,7434
92,x0092_X,15677,28058,6351
93,x0093_X,15874,29389,5458
94,x0094_X,15982,26723,4881
95,x0095_X,13598,26604,5249
96,x0096_X,13768,25273,4915
97,x0097_X,14610,25173,5067
98,x0098_X,15201,22055,5522
99,x0099_X,15429,26508,5341
100,x0100_X,13569,24073,5429
101,x0101_X,15306,26229,6051
102,x0102_X,15010,27070,4891
103,x0103_X,16378,28144,5881
104,x0104_X,15130,24407,5014
105,x0105_X,17180,28003,6498
106,x0106_X,15198,25674,5184
107,x0107_X,16680,27211,5879
108,x0108_X,15712,24998,4741
109,x0109_X,17201,28451,6029
110,x0110_X,15359,25082,5312
111,x0111_X,15565,27041,5289
112,x0112_X,16389,26130,5376
113,x0113_X,13692,22842,4794
114,x0114_X,12311,24853,4741
115,x0115_X,16208,25840,6157
116,x0116_X,14741,25632,5380
117,x0117_X,15979,25891,6335
118,x0118_X,16258,29270,5512
119,x0119_X,13287,22133,4766
120,x0120_X,13586,23412,4618
121,x0121_X,13036,22655,5350
122,x0122_X,14072,25447,5032
123,x0123_X,15328,22384,5359
124,x0124_X,17486,25911,6058
125,x0125_X,15733,23181,5042
126,x0126_X,15537,30818,6620
127,x0127_X,14150,26902,6226
128,x0128_X,14093,22682,5711
129,x0129_X,11421,22545,4537
130,x0130_X,14711,30242,7050
131,x0131_X,14406,23695,5855
132,x0132_X,15638,31754,5909
133,x0133_X,13863,26368,5220
134,x0134_X,15097,27788,5631
135,x0135_X,13825,23536,5125
136,x0136_X,13955,26793,6530
137,x0137_X,18510,27700,6765
138,x0138_X,16418,30854,7013
139,x0139_X,14511,25529,6016
140,x0140_X,14417,26032,7446
141,x0141_X,16269,27465,8269
142,x0142_X,15970,23614,8311
143,x0143_X,14196,22837,6332
144,x0144_X,14545,22482,5459
145,x0145_X,13656,23261,7039
146,x0146_X,17650,24261,7859
147,x0147_X,17476,26190,7374
148,x0148_X,17169,27494,6377
149,x0149_X,16996,26123,7284
150,x0150_X,17078,24474,6964
151,x0151_X,16670,25171,6987
152,x0152_X,14979,23288,6583
153,x0153_X,16479,28117,6764
154,x0154_X,18849,26988,8119
155,x0155_X,16584,22341,5925
156,x0156_X,16325,24349,6297
157,x0157_X,13869,24129,5958
158,x0158_X,14849,24410,5591
159,x0159_X,14677,25914,6380
160,x0160_X,17024,25925,6192
161,x0161_X,15602,24298,7071
162,x0162_X,14390,23902,5961
163,x0163_X,14434,22545,6681
164,x0164_X,15465,24689,6817
165,x0165_X,17797,26876,8628
166,x0166_X,16493,23628,7157
167,x0167_X,13884,24187,5589
168,x0168_X,14583,23312,6955
169,x0169_X,12255,20921,5605
170,x0170_X,14874,23558,7321
171,x0171_X,16340,23299,7639
172,x0172_X,15166,25953,7709
173,x0173_X,13353,22274,6278
174,x0174_X,15959,24441,6571
175,x0175_X,14101,21210,6594
176,x0176_X,15847,21566,8340
177,x0177_X,14760,20711,6145
178,x0178_X,15214,23932,7825
179,x0179_X,14052,20925,6639
180,x0180_X,12506,19815,6460
181,x0181_X,12938,19286,5726
182,x0182_X,15469,22542,8045
183,x0183_X,16620,23910,5830
184,x0184_X,13671,23092,6015
185,x0185_X,15244,22189,6227
186,x0186_X,14914,24122,6114
187,x0187_X,12578,20366,6396
188,x0188_X,14141,22081,6264
189,x0189_X,14020,20874,6147
190,x0190_X,15332,27175,7263
191,x0191_X,14869,30974,6807
192,x0192_X,16596,28302,7752
193,x0193_X,15888,24234,7464
194,x0194_X,15810,25642,7376
195,x0195_X,15523,25685,6997
196,x0196_X,14784,24232,5834
197,x0197_X,12852,24160,5766
198,x0198_X,13560,26421,6990
199,x0199_X,12847,22047,6434
200,x0200_X,14379,25173,6808
201,x0201_X,16717,26908,6778
202,x0202_X,16601,25860,8579
203,x0203_X,15895,25842,6779
204,x0204_X,13950,22957,7644
205,x0205_X,14759,26732,7025
206,x0206_X,14737,25545,7923
207,x0207_X,16731,24869,6916
208,x0208_X,16678,27017,8308
209,x0209_X,15070,23835,7151
210,x0210_X,16184,24975,7982
211,x0211_X,15576,23993,7709
212,x0212_X,15990,26143,7637
213,x0213_X,16396,24974,8400
214,x0214_X,14019,19657,6794
215,x0215_X,16147,28385,7471
216,x0216_X,17071,25052,7647
217,x0217_X,16694,25306,8403
218,x0218_X,15476,22391,6684
219,x0219_X,16614,25488,7353
220,x0220_X,16596,25009,6600
221,x0221_X,17461,26074,8146
222,x0222_X,15740,25304,7161
223,x0223_X,15045,25604,6937
224,x0224_X,13959,22566,6253
225,x0225_X,16872,24632,7324
226,x0226_X,18238,25700,8712
227,x0227_X,14908,23610,6933
228,x0228_X,16446,26334,7623
229,x0229_X,16763,21571,7722
230,x0230_X,17290,25758,8312
231,x0231_X,17069,25501,7516
232,x0232_X,17838,24598,8285
233,x0233_X,16271,26588,8822
