,protid,P,S,C
0,x0000_X,32451,346603,11232
1,x0001_X,24426,242547,8680
2,x0002_X,18265,191665,7540
3,x0003_X,20114,218334,8305
4,x0004_X,20028,215302,8621
5,x0005_X,22100,221186,9119
6,x0006_X,20419,194694,7665
7,x0007_X,21377,216869,9210
8,x0008_X,24497,215405,8963
9,x0009_X,25040,217656,10420
10,x0010_X,25728,203503,9855
11,x0011_X,28318,224302,11281
12,x0012_X,29992,242581,12817
13,x0013_X,30259,244864,12538
14,x0014_X,28892,237328,11665
15,x0015_X,28281,229185,10812
16,x0016_X,27744,232846,12101
17,x0017_X,27965,221350,10245
18,x0018_X,28601,237395,10400
19,x0019_X,30510,238695,10173
20,x0020_X,31275,238981,10619
21,x0021_X,31301,212801,9726
22,x0022_X,33140,242402,11361
23,x0023_X,29571,240804,9751
24,x0024_X,29901,251274,11055
25,x0025_X,28099,231988,9658
26,x0026_X,26630,237797,9003
27,x0027_X,28222,234171,9560
28,x0028_X,32492,262185,11476
29,x0029_X,26486,241462,10683
30,x0030_X,29408,262254,12148
31,x0031_X,28671,239673,10287
32,x0032_X,30352,268354,12160
33,x0033_X,32229,266008,12629
34,x0034_X,33280,282788,14823
35,x0035_X,32417,264730,12144
36,x0036_X,35506,263746,13984
37,x0037_X,33405,252277,13469
38,x0038_X,35700,264016,14312
39,x0039_X,38026,275510,13300
40,x0040_X,37938,285706,14609
41,x0041_X,29958,249289,12219
42,x0042_X,36628,286367,15258
43,x0043_X,35410,293451,16835
44,x0044_X,35430,263487,14319
45,x0045_X,34223,275403,14789
46,x0046_X,37970,294469,16591
47,x0047_X,35537,273176,16508
48,x0048_X,35450,271248,14503
49,x0049_X,34902,263971,15155
50,x0050_X,37448,262314,13474
51,x0051_X,39782,262865,13763
52,x0052_X,40761,261217,13637
53,x0053_X,41814,269071,14336
54,x0054_X,39866,268376,14564
55,x0055_X,43197,281209,15494
56,x0056_X,44689,291059,15793
57,x0057_X,46523,296516,16089
58,x0058_X,41764,292032,16070
59,x0059_X,42412,294912,16737
60,x0060_X,48441,297922,17868
61,x0061_X,44749,301019,17610
62,x0062_X,50364,328870,19044
63,x0063_X,49368,302354,18508
64,x0064_X,54855,317034,20166
65,x0065_X,51479,313969,18678
66,x0066_X,47198,289853,16169
67,x0067_X,45867,296445,16816
68,x0068_X,47488,310657,19001
69,x0069_X,49991,299617,18045
70,x0070_X,51226,305755,18430
71,x0071_X,52225,295661,18054
72,x0072_X,50924,299528,18918
73,x0073_X,52927,309993,19455
74,x0074_X,55705,330546,21002
75,x0075_X,49325,298480,18991
76,x0076_X,49304,286234,17682
77,x0077_X,54601,300591,19353
78,x0078_X,53947,277858,17225
79,x0079_X,53982,303263,18166
80,x0080_X,53698,303085,19495
81,x0081_X,53547,291852,19686
82,x0082_X,55002,327993,22455
83,x0083_X,50882,323769,20954
84,x0084_X,47155,295206,21017
85,x0085_X,52109,332445,20896
86,x0086_X,51159,314915,20686
87,x0087_X,52888,329695,22867
88,x0088_X,53251,337376,21151
89,x0089_X,53828,333139,21189
90,x0090_X,55557,353231,23197
91,x0091_X,59539,363889,24503
92,x0092_X,55528,349618,24055
93,x0093_X,54627,340476,22138
94,x0094_X,56194,339050,23826
95,x0095_X,54577,320943,21866
96,x0096_X,57780,332929,22886
97,x0097_X,53927,331768,23365
98,x0098_X,57372,335993,24790
99,x0099_X,58068,332898,23539
100,x0100_X,53513,320533,22449
101,x0101_X,59095,357998,25177
102,x0102_X,53243,318253,20559
103,x0103_X,53711,327476,21566
104,x0104_X,51490,312443,21070
105,x0105_X,60759,341289,25302
106,x0106_X,54865,336141,23499
107,x0107_X,55444,347110,23872
108,x0108_X,56365,326605,22480
109,x0109_X,61510,374803,25928
110,x0110_X,54581,330077,23498
111,x0111_X,56620,353262,23964
112,x0112_X,55753,348392,25056
113,x0113_X,51083,313744,21933
114,x0114_X,50463,337032,22470
115,x0115_X,59651,341173,24679
116,x0116_X,55619,358277,25557
117,x0117_X,58908,367989,26731
118,x0118_X,60453,374836,25031
119,x0119_X,53779,347250,24474
120,x0120_X,54661,349743,25724
121,x0121_X,55207,350290,24631
122,x0122_X,57584,373561,26301
123,x0123_X,52533,338186,22876
124,x0124_X,57156,352539,23220
125,x0125_X,56325,328530,23301
126,x0126_X,56761,354260,23757
127,x0127_X,53492,342601,24810
128,x0128_X,55345,327287,25524
129,x0129_X,50391,300171,21391
130,x0130_X,53145,359665,26643
131,x0131_X,54596,321932,25328
132,x0132_X,58799,345742,24660
133,x0133_X,54335,348621,24394
134,x0134_X,55483,332844,24359
135,x0135_X,49676,308625,22327
136,x0136_X,56042,338508,25436
137,x0137_X,57674,331983,23938
138,x0138_X,55006,324453,23294
139,x0139_X,50266,305790,22829
140,x0140_X,57383,320016,26252
141,x0141_X,64215,360745,28668
142,x0142_X,55627,322689,27134
143,x0143_X,59353,347745,27680
144,x0144_X,55203,324808,25439
145,x0145_X,53285,351780,28781
146,x0146_X,51570,342856,27395
147,x0147_X,53043,341841,27856
148,x0148_X,56533,363148,27304
149,x0149_X,58553,369260,29633
150,x0150_X,58314,354152,26987
151,x0151_X,53745,344506,26330
152,x0152_X,52187,317142,24499
153,x0153_X,53145,336589,24771
154,x0154_X,64194,395200,31151
155,x0155_X,56956,344906,26413
156,x0156_X,59449,382006,27541
157,x0157_X,55038,352169,26639
158,x0158_X,54243,343421,25076
159,x0159_X,59131,358651,28258
160,x0160_X,60061,386528,29211
161,x0161_X,56231,352963,28386
162,x0162_X,52430,345967,26184
163,x0163_X,55661,359512,28980
164,x0164_X,60178,383644,30029
165,x0165_X,64680,397081,32754
166,x0166_X,58636,367918,29936
167,x0167_X,54487,361331,27393
168,x0168_X,55058,365180,28640
169,x0169_X,53222,337280,26739
170,x0170_X,58186,381939,29840
171,x0171_X,55088,346789,28251
172,x0172_X,55249,354054,27342
173,x0173_X,54774,359325,27231
174,x0174_X,57877,371314,28255
175,x0175_X,54535,349085,28365
176,x0176_X,62709,364255,32397
177,x0177_X,57953,369465,28117
178,x0178_X,56422,368228,29931
179,x0179_X,59220,360458,29200
180,x0180_X,54489,350357,28069
181,x0181_X,55113,347232,26856
182,x0182_X,55474,345899,29683
183,x0183_X,58096,367929,28556
