,protid,P,S,C
0,x0000_X,31,115,7
1,x0001_X,61,155,15
2,x0002_X,51,317,10
3,x0003_X,60,299,19
4,x0004_X,43,271,11
5,x0005_X,34,256,10
6,x0006_X,66,331,9
7,x0007_X,49,290,12
8,x0008_X,33,212,8
9,x0009_X,100,396,32
10,x0010_X,125,461,44
11,x0011_X,91,450,20
12,x0012_X,125,396,40
13,x0013_X,122,391,48
14,x0014_X,89,310,36
15,x0015_X,88,288,30
16,x0016_X,141,425,64
17,x0017_X,118,328,50
18,x0018_X,152,417,61
19,x0019_X,209,647,90
20,x0020_X,190,624,89
21,x0021_X,199,579,83
22,x0022_X,171,388,71
23,x0023_X,164,487,52
24,x0024_X,202,659,85
25,x0025_X,224,724,87
26,x0026_X,210,862,104
27,x0027_X,202,812,114
28,x0028_X,209,759,113
29,x0029_X,204,776,101
30,x0030_X,206,812,110
31,x0031_X,216,845,115
32,x0032_X,201,816,111
33,x0033_X,206,863,107
34,x0034_X,224,984,118
35,x0035_X,225,847,104
36,x0036_X,235,1016,127
37,x0037_X,239,1038,154
38,x0038_X,224,881,120
39,x0039_X,222,841,113
40,x0040_X,206,891,128
41,x0041_X,234,975,117
42,x0042_X,225,812,139
43,x0043_X,222,927,126
44,x0044_X,228,906,141
45,x0045_X,227,980,119
46,x0046_X,244,1116,125
47,x0047_X,229,969,128
48,x0048_X,247,1089,149
49,x0049_X,241,1110,134
50,x0050_X,246,1165,129
51,x0051_X,253,1139,148
52,x0052_X,239,1067,125
53,x0053_X,200,1075,103
54,x0054_X,215,944,116
55,x0055_X,237,1175,128
56,x0056_X,236,1122,127
57,x0057_X,235,1313,163
58,x0058_X,226,1105,154
59,x0059_X,224,1160,156
60,x0060_X,262,1218,173
61,x0061_X,293,1325,152
62,x0062_X,264,1244,145
63,x0063_X,295,1369,166
64,x0064_X,282,1234,137
65,x0065_X,276,1318,176
66,x0066_X,277,1282,152
67,x0067_X,256,1185,155
68,x0068_X,249,1150,141
69,x0069_X,260,1247,146
70,x0070_X,267,1298,146
71,x0071_X,265,1134,141
72,x0072_X,259,1242,152
73,x0073_X,268,1194,134
74,x0074_X,272,1348,150
75,x0075_X,265,1345,160
76,x0076_X,284,1365,181
77,x0077_X,284,1512,157
78,x0078_X,246,1257,150
79,x0079_X,273,1407,150
80,x0080_X,245,1160,135
81,x0081_X,280,1454,157
82,x0082_X,276,1335,159
83,x0083_X,284,1452,155
84,x0084_X,278,1411,141
85,x0085_X,341,1689,181
86,x0086_X,296,1500,157
87,x0087_X,320,1538,158
88,x0088_X,284,1335,151
89,x0089_X,287,1431,173
90,x0090_X,321,1635,189
91,x0091_X,294,1493,166
92,x0092_X,292,1631,157
93,x0093_X,280,1442,169
94,x0094_X,327,1574,179
95,x0095_X,307,1542,167
96,x0096_X,257,1377,136
97,x0097_X,316,1485,152
98,x0098_X,287,1320,163
99,x0099_X,267,1183,146
100,x0100_X,217,1170,98
101,x0101_X,321,1474,158
102,x0102_X,277,1322,112
103,x0103_X,275,1256,122
104,x0104_X,254,1230,112
105,x0105_X,296,1353,181
106,x0106_X,348,1392,151
107,x0107_X,356,1546,178
108,x0108_X,380,1763,203
109,x0109_X,365,1611,169
110,x0110_X,310,1465,178
111,x0111_X,309,1462,182
112,x0112_X,346,1612,187
113,x0113_X,305,1424,162
114,x0114_X,312,1409,170
115,x0115_X,325,1568,187
116,x0116_X,361,1786,199
117,x0117_X,305,1336,189
118,x0118_X,280,1316,174
119,x0119_X,340,1557,183
120,x0120_X,282,1263,166
121,x0121_X,249,935,142
122,x0122_X,305,1224,182
123,x0123_X,257,1066,162
124,x0124_X,278,1152,166
125,x0125_X,348,1408,197
126,x0126_X,368,1219,183
127,x0127_X,391,1437,188
128,x0128_X,382,1607,222
129,x0129_X,364,1455,197
130,x0130_X,376,1684,218
131,x0131_X,371,1555,219
132,x0132_X,347,1478,191
133,x0133_X,342,1543,195
134,x0134_X,327,1438,188
135,x0135_X,269,1187,197
136,x0136_X,349,1466,201
137,x0137_X,335,1595,215
138,x0138_X,350,1582,213
139,x0139_X,320,1600,225
140,x0140_X,332,1729,217
141,x0141_X,319,1585,176
142,x0142_X,324,1481,211
143,x0143_X,345,1635,231
144,x0144_X,336,1601,208
145,x0145_X,360,1687,231
146,x0146_X,361,1631,219
147,x0147_X,365,1824,226
148,x0148_X,309,1549,222
149,x0149_X,385,1730,231
150,x0150_X,315,1502,199
151,x0151_X,308,1521,187
152,x0152_X,296,1505,215
153,x0153_X,327,1614,204
154,x0154_X,310,1499,207
155,x0155_X,363,1569,213
156,x0156_X,312,1390,189
157,x0157_X,311,1502,203
158,x0158_X,368,1631,212
159,x0159_X,326,1567,187
160,x0160_X,349,1592,204
161,x0161_X,296,1416,179
162,x0162_X,309,1225,177
163,x0163_X,354,1768,224
164,x0164_X,389,1873,223
165,x0165_X,399,1944,213
166,x0166_X,390,1937,229
167,x0167_X,412,2042,247
168,x0168_X,372,2017,239
169,x0169_X,385,1839,191
170,x0170_X,383,1947,226
171,x0171_X,377,1881,227
172,x0172_X,395,1933,228
173,x0173_X,378,1942,236
174,x0174_X,392,2067,242
175,x0175_X,331,1949,205
176,x0176_X,392,2073,236
177,x0177_X,351,1784,211
178,x0178_X,349,1845,221
179,x0179_X,318,1746,214
180,x0180_X,374,1958,224
181,x0181_X,380,1841,194
182,x0182_X,329,1693,189
183,x0183_X,368,1805,242
184,x0184_X,361,1889,235
185,x0185_X,355,1900,230
186,x0186_X,371,2032,225
187,x0187_X,347,1903,235
188,x0188_X,352,1825,238
189,x0189_X,394,1987,247
190,x0190_X,370,1829,216
191,x0191_X,374,1876,235
192,x0192_X,365,1880,240
193,x0193_X,287,1542,187
194,x0194_X,330,1678,203
195,x0195_X,399,1789,227
196,x0196_X,393,1928,235
197,x0197_X,380,1661,237
198,x0198_X,325,1537,218
199,x0199_X,329,1592,224
200,x0200_X,333,1523,224
201,x0201_X,340,1762,244
202,x0202_X,329,1725,224
203,x0203_X,383,1923,250
204,x0204_X,385,1912,259
205,x0205_X,325,1655,231
206,x0206_X,409,1896,251
207,x0207_X,348,1682,248
208,x0208_X,366,1671,241
209,x0209_X,373,1799,243
210,x0210_X,356,1761,229
211,x0211_X,367,1745,234
212,x0212_X,339,1710,229
213,x0213_X,397,1843,245
214,x0214_X,392,1846,247
215,x0215_X,346,1708,224
216,x0216_X,348,1818,249
217,x0217_X,379,1859,247
218,x0218_X,381,1933,242
219,x0219_X,424,2144,282
220,x0220_X,360,1866,259
221,x0221_X,415,2033,253
222,x0222_X,358,1791,266
223,x0223_X,358,1731,257
224,x0224_X,400,1954,274
225,x0225_X,401,1952,275
226,x0226_X,374,2053,274
227,x0227_X,432,2377,272
228,x0228_X,416,2150,284
229,x0229_X,411,2019,271
230,x0230_X,432,2075,268
231,x0231_X,368,1859,258
232,x0232_X,363,1867,255
233,x0233_X,361,1874,250
234,x0234_X,372,1987,269
235,x0235_X,348,1957,251
236,x0236_X,362,1924,270
237,x0237_X,323,1768,255
238,x0238_X,364,1935,257
239,x0239_X,405,2097,273
240,x0240_X,398,2037,266
241,x0241_X,399,2040,262
242,x0242_X,406,2243,277
243,x0243_X,439,2268,296
244,x0244_X,421,2297,285
245,x0245_X,403,2173,274
246,x0246_X,438,2392,251
247,x0247_X,411,2334,258
248,x0248_X,396,2347,260
249,x0249_X,392,2029,207
250,x0250_X,407,2334,262
251,x0251_X,417,2236,273
