,protid,P,S,C
0,x0000_X,4116,36259,2111
1,x0001_X,4518,30860,2023
2,x0002_X,4741,32241,1799
3,x0003_X,4891,34716,2009
4,x0004_X,4634,38980,2442
5,x0005_X,4155,31706,2365
6,x0006_X,4310,34551,2180
7,x0007_X,4792,37411,2647
8,x0008_X,4852,35173,3046
9,x0009_X,5347,39420,3128
10,x0010_X,5676,43791,3508
11,x0011_X,5841,43280,3854
12,x0012_X,5099,36483,3268
13,x0013_X,5309,40881,3580
14,x0014_X,5811,43523,3641
15,x0015_X,6391,45157,3730
16,x0016_X,6490,45794,3996
17,x0017_X,7580,49352,4493
18,x0018_X,5360,38343,3268
19,x0019_X,5485,37720,3155
20,x0020_X,6200,42483,3320
21,x0021_X,5861,37274,3225
22,x0022_X,6952,39508,4261
23,x0023_X,5275,34017,3194
24,x0024_X,5526,37237,2990
25,x0025_X,5498,29907,3098
26,x0026_X,5924,32304,3967
27,x0027_X,5410,34896,3650
28,x0028_X,5380,32084,3291
29,x0029_X,4951,35053,3067
30,x0030_X,4813,33881,3501
31,x0031_X,5399,41232,3772
32,x0032_X,6753,42443,5089
33,x0033_X,6489,41255,4259
34,x0034_X,6350,36806,3815
35,x0035_X,6661,38086,4394
36,x0036_X,6604,36752,3922
37,x0037_X,6971,38187,4297
38,x0038_X,9567,46551,5307
39,x0039_X,8909,44314,4747
40,x0040_X,8381,39298,4647
41,x0041_X,8637,47032,5057
42,x0042_X,9800,53572,6006
43,x0043_X,7759,49176,4490
44,x0044_X,6905,41472,4273
45,x0045_X,7025,42953,4637
46,x0046_X,7071,49419,4585
47,x0047_X,6084,40760,4196
48,x0048_X,6582,44684,4679
49,x0049_X,6363,45430,4487
50,x0050_X,7040,51917,4946
51,x0051_X,6712,43377,4526
52,x0052_X,6787,48198,5046
53,x0053_X,6697,48102,4197
54,x0054_X,6391,44676,3879
55,x0055_X,8137,56213,5775
56,x0056_X,7691,51486,5443
57,x0057_X,7166,51846,4891
58,x0058_X,7317,49040,5068
59,x0059_X,6696,44705,4210
60,x0060_X,8208,53358,5595
