,protid,P,S,C
0,x0000_X,3,68,7
1,x0001_X,8,156,7
2,x0002_X,22,265,13
3,x0003_X,20,315,16
4,x0004_X,36,328,14
5,x0005_X,19,344,15
6,x0006_X,54,423,19
7,x0007_X,59,361,15
8,x0008_X,66,354,15
9,x0009_X,103,403,22
10,x0010_X,100,441,20
11,x0011_X,62,474,25
12,x0012_X,49,368,18
13,x0013_X,92,446,23
14,x0014_X,90,485,20
15,x0015_X,94,447,20
16,x0016_X,76,592,35
17,x0017_X,70,500,25
18,x0018_X,120,623,37
19,x0019_X,125,447,23
20,x0020_X,126,512,28
21,x0021_X,184,602,34
22,x0022_X,106,534,26
23,x0023_X,150,597,33
24,x0024_X,121,554,28
25,x0025_X,125,513,28
26,x0026_X,205,659,39
27,x0027_X,140,605,35
28,x0028_X,160,667,34
29,x0029_X,155,554,32
30,x0030_X,174,618,69
31,x0031_X,137,532,34
32,x0032_X,176,607,37
33,x0033_X,140,600,40
34,x0034_X,210,795,76
35,x0035_X,140,602,38
36,x0036_X,159,598,63
37,x0037_X,267,863,95
38,x0038_X,207,694,89
39,x0039_X,185,665,53
40,x0040_X,166,652,43
41,x0041_X,171,604,45
42,x0042_X,161,610,49
43,x0043_X,147,542,52
44,x0044_X,210,661,119
45,x0045_X,166,684,53
46,x0046_X,255,702,78
47,x0047_X,181,708,57
48,x0048_X,163,567,50
49,x0049_X,257,714,64
50,x0050_X,289,781,58
51,x0051_X,191,705,50
52,x0052_X,152,622,46
53,x0053_X,172,633,56
54,x0054_X,244,624,78
55,x0055_X,286,768,122
56,x0056_X,235,607,61
57,x0057_X,229,703,103
58,x0058_X,330,810,135
59,x0059_X,265,723,93
60,x0060_X,234,629,83
61,x0061_X,275,803,98
62,x0062_X,372,872,187
63,x0063_X,257,812,156
64,x0064_X,339,998,148
65,x0065_X,272,803,101
66,x0066_X,376,1055,165
67,x0067_X,405,914,221
68,x0068_X,455,1039,217
69,x0069_X,342,992,206
70,x0070_X,422,1024,207
71,x0071_X,417,989,247
72,x0072_X,473,984,254
73,x0073_X,394,922,224
74,x0074_X,446,900,194
75,x0075_X,461,901,234
76,x0076_X,394,1046,213
77,x0077_X,391,861,179
78,x0078_X,453,1068,249
79,x0079_X,423,921,196
80,x0080_X,576,1055,260
81,x0081_X,456,945,252
82,x0082_X,482,1008,221
83,x0083_X,441,933,279
84,x0084_X,488,1108,234
85,x0085_X,495,1120,215
86,x0086_X,495,1088,247
87,x0087_X,396,960,184
88,x0088_X,641,1139,300
89,x0089_X,615,1077,261
90,x0090_X,606,1050,297
91,x0091_X,611,1140,329
92,x0092_X,487,967,199
93,x0093_X,466,1009,236
94,x0094_X,522,951,297
95,x0095_X,520,1043,267
96,x0096_X,436,782,213
97,x0097_X,495,989,227
98,x0098_X,431,816,184
99,x0099_X,420,817,194
100,x0100_X,589,1059,368
101,x0101_X,554,944,332
102,x0102_X,492,858,303
103,x0103_X,465,841,234
104,x0104_X,472,910,214
105,x0105_X,501,1017,252
106,x0106_X,551,1033,307
107,x0107_X,422,845,218
108,x0108_X,434,1036,241
109,x0109_X,518,1026,286
110,x0110_X,631,1199,315
111,x0111_X,623,1128,394
112,x0112_X,608,1198,339
113,x0113_X,600,1019,272
114,x0114_X,728,1353,334
115,x0115_X,795,1393,440
116,x0116_X,706,1254,386
117,x0117_X,737,1385,363
118,x0118_X,614,1298,366
119,x0119_X,720,1267,291
120,x0120_X,763,1336,386
121,x0121_X,1082,1741,580
122,x0122_X,826,1549,400
123,x0123_X,960,1608,435
124,x0124_X,827,1567,456
125,x0125_X,858,1384,459
126,x0126_X,894,1505,527
127,x0127_X,666,1424,395
128,x0128_X,842,1418,441
129,x0129_X,771,1347,438
130,x0130_X,871,1493,486
131,x0131_X,675,1413,397
132,x0132_X,923,1442,485
133,x0133_X,852,1526,472
134,x0134_X,824,1586,440
135,x0135_X,820,1381,427
136,x0136_X,943,1660,478
137,x0137_X,932,1486,508
138,x0138_X,875,1420,406
139,x0139_X,892,1491,467
140,x0140_X,890,1635,478
141,x0141_X,939,1557,507
142,x0142_X,964,1687,509
143,x0143_X,853,1544,453
144,x0144_X,881,1578,467
145,x0145_X,881,1631,414
146,x0146_X,923,1539,464
147,x0147_X,831,1498,372
148,x0148_X,839,1526,485
149,x0149_X,943,1590,470
150,x0150_X,960,1705,495
151,x0151_X,891,1594,518
152,x0152_X,968,1733,539
153,x0153_X,953,1689,518
154,x0154_X,901,1663,517
155,x0155_X,944,1935,524
156,x0156_X,1057,1820,609
157,x0157_X,868,1554,504
158,x0158_X,800,1560,490
159,x0159_X,999,1738,584
160,x0160_X,991,1750,580
161,x0161_X,1103,1833,550
162,x0162_X,799,1506,470
163,x0163_X,861,1803,576
164,x0164_X,937,1689,534
165,x0165_X,974,1693,573
166,x0166_X,930,1708,522
167,x0167_X,931,1688,541
168,x0168_X,880,1413,408
169,x0169_X,923,1773,544
170,x0170_X,906,1654,521
171,x0171_X,894,1524,508
172,x0172_X,886,1559,481
173,x0173_X,988,1711,622
174,x0174_X,869,1675,459
175,x0175_X,1111,1875,584
176,x0176_X,1046,1903,621
177,x0177_X,1029,1907,634
178,x0178_X,1144,2108,664
179,x0179_X,1056,1920,594
180,x0180_X,1166,2000,662
181,x0181_X,991,1804,608
182,x0182_X,1064,1972,619
183,x0183_X,1000,1845,641
184,x0184_X,797,1595,534
185,x0185_X,871,1548,507
186,x0186_X,819,1589,518
187,x0187_X,941,1736,483
188,x0188_X,948,1682,530
189,x0189_X,1091,1876,688
190,x0190_X,1017,1809,660
191,x0191_X,935,1710,595
192,x0192_X,889,1533,581
193,x0193_X,1037,1886,647
194,x0194_X,1069,1959,627
195,x0195_X,991,1804,608
196,x0196_X,1112,1970,659
197,x0197_X,1105,1948,688
198,x0198_X,998,1722,601
199,x0199_X,1097,1863,610
200,x0200_X,1099,1686,701
201,x0201_X,1031,1856,599
202,x0202_X,926,1824,571
203,x0203_X,1014,1824,648
204,x0204_X,1027,1715,579
205,x0205_X,1205,1932,691
206,x0206_X,1018,2086,637
207,x0207_X,1058,1979,618
208,x0208_X,1100,1935,620
209,x0209_X,1109,2031,601
210,x0210_X,1161,1906,674
211,x0211_X,1155,1838,748
212,x0212_X,1173,1761,721
213,x0213_X,1091,1887,677
214,x0214_X,1019,1799,668
215,x0215_X,1100,1990,651
216,x0216_X,1204,1912,712
217,x0217_X,1073,2102,653
218,x0218_X,1081,1912,577
219,x0219_X,1078,2082,581
220,x0220_X,1182,2264,559
221,x0221_X,1298,2284,604
222,x0222_X,1115,2241,649
223,x0223_X,1262,2233,600
224,x0224_X,1105,2251,560
225,x0225_X,964,2070,536
226,x0226_X,1206,2368,612
227,x0227_X,1211,2134,660
228,x0228_X,1246,1976,606
229,x0229_X,1155,2126,547
230,x0230_X,1161,2293,641
231,x0231_X,1151,2197,568
232,x0232_X,1254,2397,627
233,x0233_X,1223,2046,647
234,x0234_X,1263,2177,655
235,x0235_X,1311,2216,659
236,x0236_X,1206,2179,620
237,x0237_X,1339,2242,697
238,x0238_X,1324,2244,710
239,x0239_X,1213,2128,575
240,x0240_X,1135,2262,608
241,x0241_X,1182,2060,586
242,x0242_X,1485,2028,673
243,x0243_X,1374,2068,653
244,x0244_X,1443,2082,661
245,x0245_X,1197,1913,545
246,x0246_X,1514,2117,647
247,x0247_X,1354,2014,637
248,x0248_X,1422,2045,628
249,x0249_X,1429,2197,652
250,x0250_X,1358,1824,646
251,x0251_X,1660,2205,791
252,x0252_X,1676,2255,822
253,x0253_X,1474,1859,672
254,x0254_X,1864,2323,863
255,x0255_X,1616,2127,722
256,x0256_X,1612,1882,692
257,x0257_X,1655,2019,697
258,x0258_X,1810,2325,815
259,x0259_X,1549,1992,737
260,x0260_X,1511,1933,742
261,x0261_X,1485,1890,811
262,x0262_X,1439,2033,714
263,x0263_X,1526,1931,729
264,x0264_X,1479,2006,701
265,x0265_X,1569,2036,766
266,x0266_X,1692,2187,874
267,x0267_X,1712,2214,827
268,x0268_X,1240,1986,690
269,x0269_X,1445,1878,682
270,x0270_X,1689,2285,877
271,x0271_X,1640,2085,835
272,x0272_X,1748,2239,864
273,x0273_X,1704,2244,903
274,x0274_X,1740,2114,899
275,x0275_X,1826,2218,906
276,x0276_X,1502,2124,745
277,x0277_X,1432,1983,771
278,x0278_X,1420,1965,710
279,x0279_X,1632,2048,785
280,x0280_X,1722,2198,931
281,x0281_X,1631,2226,896
282,x0282_X,1653,2100,807
283,x0283_X,1770,2155,926
284,x0284_X,1783,2020,853
285,x0285_X,1832,2246,872
286,x0286_X,1709,2013,934
287,x0287_X,1583,2082,800
288,x0288_X,1722,2145,886
289,x0289_X,1813,2356,881
290,x0290_X,1583,1802,801
291,x0291_X,1763,2253,835
292,x0292_X,1646,2101,909
293,x0293_X,1574,1946,851
294,x0294_X,1749,2054,950
295,x0295_X,1719,1916,925
296,x0296_X,1669,2099,888
297,x0297_X,1665,2146,845
298,x0298_X,1821,2113,917
299,x0299_X,1694,1972,894
300,x0300_X,1746,1965,849
301,x0301_X,1763,2168,920
302,x0302_X,1796,2221,933
303,x0303_X,1595,1950,733
304,x0304_X,1550,1930,798
305,x0305_X,1664,1815,799
306,x0306_X,1556,1974,748
307,x0307_X,1682,1961,822
308,x0308_X,1689,2150,914
309,x0309_X,1633,1955,783
310,x0310_X,1652,1920,893
311,x0311_X,1695,2003,862
312,x0312_X,1546,2002,730
313,x0313_X,1593,1970,808
314,x0314_X,1473,1989,816
315,x0315_X,1439,1843,723
316,x0316_X,1595,1949,921
317,x0317_X,1609,2037,819
318,x0318_X,1666,2007,887
319,x0319_X,1560,1992,819
320,x0320_X,1685,2053,918
321,x0321_X,1700,2100,856
322,x0322_X,1686,2034,936
323,x0323_X,1725,2259,867
324,x0324_X,1683,2090,883
325,x0325_X,1707,2258,985
326,x0326_X,1509,2219,737
327,x0327_X,1808,2070,875
328,x0328_X,1607,2016,748
329,x0329_X,1938,2144,868
330,x0330_X,1557,1986,735
331,x0331_X,1729,2019,908
332,x0332_X,1825,2349,977
333,x0333_X,1815,2166,969
334,x0334_X,1873,2212,965
335,x0335_X,1637,1949,879
336,x0336_X,1823,2281,946
337,x0337_X,1661,1964,840
338,x0338_X,1838,2123,989
339,x0339_X,1775,2111,965
340,x0340_X,1627,2085,848
341,x0341_X,1740,2137,974
342,x0342_X,1675,2065,916
343,x0343_X,1634,1811,833
344,x0344_X,1489,1854,752
345,x0345_X,1656,1955,854
346,x0346_X,1540,2168,852
347,x0347_X,1672,2002,886
348,x0348_X,1489,1805,892
349,x0349_X,1498,1812,876
350,x0350_X,1345,1674,809
351,x0351_X,1495,1905,878
352,x0352_X,1522,1879,785
353,x0353_X,1377,1766,862
354,x0354_X,1441,1867,878
355,x0355_X,1804,2074,875
356,x0356_X,1529,2088,754
357,x0357_X,1677,2143,836
358,x0358_X,1702,2106,848
359,x0359_X,1690,2040,830
360,x0360_X,1478,1894,814
361,x0361_X,1737,2274,939
362,x0362_X,1596,1874,808
363,x0363_X,1720,2237,894
364,x0364_X,1972,2368,1016
365,x0365_X,1649,2005,811
366,x0366_X,1644,2048,868
367,x0367_X,1786,2218,946
368,x0368_X,1748,2157,848
369,x0369_X,1862,2216,972
370,x0370_X,1570,1996,805
371,x0371_X,1599,2012,854
372,x0372_X,1808,2239,903
373,x0373_X,1778,2052,826
374,x0374_X,1564,1941,866
375,x0375_X,1655,1905,811
376,x0376_X,1599,2177,784
377,x0377_X,1632,1952,787
378,x0378_X,1581,2130,754
379,x0379_X,1750,2202,899
380,x0380_X,1638,1909,824
381,x0381_X,1674,2018,868
382,x0382_X,1724,2156,873
383,x0383_X,1714,2057,885
384,x0384_X,1798,2199,854
385,x0385_X,1658,1966,747
386,x0386_X,1549,1842,795
387,x0387_X,1810,2271,869
388,x0388_X,1731,2046,879
389,x0389_X,1828,2134,889
390,x0390_X,1834,2061,858
391,x0391_X,1767,2202,882
392,x0392_X,1702,2098,856
393,x0393_X,1760,1982,818
394,x0394_X,1623,2006,836
395,x0395_X,1666,1998,801
396,x0396_X,1604,2086,870
397,x0397_X,1756,2206,889
398,x0398_X,1728,1986,846
399,x0399_X,1682,2008,870
400,x0400_X,1580,1903,795
401,x0401_X,1801,2106,846
402,x0402_X,1813,2158,880
403,x0403_X,1659,1909,803
404,x0404_X,1679,2007,874
405,x0405_X,1708,2125,823
406,x0406_X,1691,2090,875
407,x0407_X,1742,1876,942
408,x0408_X,1581,1960,830
409,x0409_X,1792,2151,908
410,x0410_X,1778,2067,908
411,x0411_X,1672,1939,854
412,x0412_X,1637,2062,861
413,x0413_X,1570,1827,789
414,x0414_X,1873,2249,1029
415,x0415_X,1736,1973,947
416,x0416_X,1546,1748,892
417,x0417_X,1813,2065,973
418,x0418_X,1900,2241,1010
419,x0419_X,1585,1836,950
420,x0420_X,1569,1629,897
421,x0421_X,1693,1958,909
422,x0422_X,1775,1969,912
423,x0423_X,1751,2082,823
424,x0424_X,1824,2261,965
425,x0425_X,1612,1949,810
426,x0426_X,1573,1990,808
427,x0427_X,1727,2280,844
428,x0428_X,1694,1921,850
429,x0429_X,1687,2104,865
430,x0430_X,1620,2090,850
431,x0431_X,1677,1994,889
432,x0432_X,1852,2169,929
433,x0433_X,1764,2290,896
434,x0434_X,1590,1940,841
435,x0435_X,1840,2207,1003
436,x0436_X,1880,2221,949
437,x0437_X,1810,2052,891
438,x0438_X,1755,2055,943
439,x0439_X,1786,2013,857
440,x0440_X,1801,2091,959
441,x0441_X,1731,2104,918
442,x0442_X,1840,2204,906
443,x0443_X,1779,2016,861
444,x0444_X,1850,2118,982
445,x0445_X,1780,2164,907
446,x0446_X,1933,2357,1066
447,x0447_X,1861,2220,969
448,x0448_X,1768,2091,894
449,x0449_X,1769,1942,849
450,x0450_X,1643,1936,792
451,x0451_X,1798,2110,943
452,x0452_X,1847,2206,997
453,x0453_X,1920,2123,907
454,x0454_X,1843,2126,981
455,x0455_X,1835,2140,876
456,x0456_X,1747,1920,798
457,x0457_X,1709,1965,886
458,x0458_X,1800,1850,815
459,x0459_X,1763,2013,784
460,x0460_X,1911,2074,866
461,x0461_X,1880,2262,908
462,x0462_X,1732,2144,877
463,x0463_X,1948,2076,827
464,x0464_X,1796,1919,845
465,x0465_X,1921,2155,874
466,x0466_X,1839,2196,915
467,x0467_X,1903,2221,926
468,x0468_X,1991,2279,983
469,x0469_X,1775,2107,871
470,x0470_X,2000,2291,962
471,x0471_X,1775,2138,840
472,x0472_X,2047,2337,972
473,x0473_X,1760,2181,812
474,x0474_X,1927,2222,901
475,x0475_X,1996,2235,920
476,x0476_X,2012,2348,996
477,x0477_X,1975,2231,945
478,x0478_X,2041,2356,959
479,x0479_X,1919,2261,971
480,x0480_X,1918,2095,838
481,x0481_X,1970,2161,919
482,x0482_X,1766,1952,747
483,x0483_X,1922,2199,829
484,x0484_X,1830,2059,864
485,x0485_X,1986,2087,877
486,x0486_X,1899,2010,844
487,x0487_X,1973,2032,846
488,x0488_X,1973,2218,960
489,x0489_X,2011,2303,939
490,x0490_X,1911,2079,960
491,x0491_X,2054,2222,977
492,x0492_X,1851,2018,884
493,x0493_X,1851,1987,915
494,x0494_X,1802,1908,850
495,x0495_X,2029,2216,1008
496,x0496_X,2092,2347,1021
497,x0497_X,2045,2333,978
498,x0498_X,2086,2351,1023
499,x0499_X,1960,2071,919
500,x0500_X,1920,2325,1008
501,x0501_X,1890,2081,880
502,x0502_X,1902,2167,881
503,x0503_X,2068,2438,1059
504,x0504_X,1992,2364,1000
505,x0505_X,2071,2239,943
506,x0506_X,1907,2072,872
507,x0507_X,1960,2242,949
508,x0508_X,1946,2270,935
509,x0509_X,2010,2352,994
510,x0510_X,1876,2220,854
511,x0511_X,1987,2296,970
512,x0512_X,1966,2117,867
513,x0513_X,1864,2125,862
514,x0514_X,2001,2256,894
515,x0515_X,1921,2114,816
516,x0516_X,2053,2315,988
517,x0517_X,2006,2273,974
518,x0518_X,2111,2462,992
519,x0519_X,2118,2389,953
520,x0520_X,2058,2401,1001
521,x0521_X,2157,2483,1031
522,x0522_X,2312,2769,1135
523,x0523_X,2085,2510,970
524,x0524_X,2152,2464,949
525,x0525_X,2135,2563,1080
526,x0526_X,2273,2703,1129
527,x0527_X,2117,2441,1007
528,x0528_X,2052,2591,1028
529,x0529_X,2165,2569,1044
530,x0530_X,2308,2547,1140
531,x0531_X,2125,2395,1045
532,x0532_X,1961,2524,975
533,x0533_X,2030,2359,1071
534,x0534_X,2006,2187,958
535,x0535_X,1973,2271,1009
536,x0536_X,2061,2246,1049
537,x0537_X,2110,2313,1037
538,x0538_X,2162,2359,1044
539,x0539_X,1941,2423,992
540,x0540_X,2057,2132,861
541,x0541_X,2007,2227,917
542,x0542_X,2070,2488,1007
543,x0543_X,2148,2431,986
544,x0544_X,2159,2429,977
545,x0545_X,2106,2380,974
546,x0546_X,1990,2236,925
547,x0547_X,2019,2418,1023
548,x0548_X,2147,2365,1053
549,x0549_X,2058,2172,1023
550,x0550_X,1962,1976,913
551,x0551_X,1969,2232,950
552,x0552_X,2090,2330,1040
553,x0553_X,2121,2314,1025
554,x0554_X,1947,2408,898
555,x0555_X,2035,2411,1014
556,x0556_X,1945,2366,942
557,x0557_X,2107,2264,985
558,x0558_X,2253,2614,1128
559,x0559_X,1892,1942,919
560,x0560_X,2121,2450,1100
561,x0561_X,2027,2352,977
562,x0562_X,1978,2613,974
563,x0563_X,2035,2296,1025
564,x0564_X,1881,2444,928
565,x0565_X,2029,2563,973
566,x0566_X,2049,2473,1043
567,x0567_X,2107,2587,1084
568,x0568_X,1978,2367,1011
569,x0569_X,2076,2302,978
570,x0570_X,1973,2325,955
571,x0571_X,2132,2749,1114
572,x0572_X,2106,2546,1019
573,x0573_X,1852,2382,917
574,x0574_X,2186,2816,1103
575,x0575_X,2054,2465,1046
576,x0576_X,2064,2632,1082
577,x0577_X,2238,2523,1125
578,x0578_X,1945,2318,990
579,x0579_X,2224,2673,1098
580,x0580_X,2000,2401,1059
581,x0581_X,1990,2476,994
582,x0582_X,1949,2441,1070
583,x0583_X,2245,2495,1146
584,x0584_X,2120,2484,1067
585,x0585_X,2101,2575,1102
586,x0586_X,1997,2319,937
587,x0587_X,2178,2537,1063
588,x0588_X,2018,2471,971
589,x0589_X,2291,2711,1103
590,x0590_X,2177,2470,1024
591,x0591_X,2107,2638,1141
592,x0592_X,2072,2361,1027
593,x0593_X,2045,2429,986
594,x0594_X,1948,2424,984
595,x0595_X,2074,2501,990
596,x0596_X,2074,2678,1026
597,x0597_X,2347,2608,1150
598,x0598_X,2212,2808,1085
599,x0599_X,2225,2775,1105
600,x0600_X,2280,2541,1065
601,x0601_X,2303,2412,1063
602,x0602_X,2316,2724,1176
603,x0603_X,2168,2349,1048
604,x0604_X,2219,2602,1065
605,x0605_X,2324,2496,1066
606,x0606_X,2108,2453,1004
607,x0607_X,2169,2255,1036
