,protid,P,S,C
0,x0000_X,9430,18242,2709
1,x0001_X,10365,19009,2252
2,x0002_X,10944,17369,2563
3,x0003_X,10373,18799,2706
4,x0004_X,12653,18365,3435
5,x0005_X,12571,17696,3403
6,x0006_X,12692,17885,3614
7,x0007_X,11484,17020,3374
8,x0008_X,11847,14870,3173
9,x0009_X,10762,15704,2695
10,x0010_X,10972,16567,3089
11,x0011_X,12682,16823,3906
12,x0012_X,13657,18649,3740
13,x0013_X,11027,17398,3706
14,x0014_X,11907,17071,4433
15,x0015_X,11342,15886,4147
16,x0016_X,11985,19265,4528
17,x0017_X,10330,15388,4172
18,x0018_X,9206,16116,3839
19,x0019_X,10825,18615,4751
20,x0020_X,12837,19841,4997
21,x0021_X,11133,17066,4186
22,x0022_X,11730,21217,4181
23,x0023_X,11907,17308,3938
24,x0024_X,9697,16799,3394
25,x0025_X,9775,15636,3269
26,x0026_X,9807,13984,3470
27,x0027_X,11078,16803,3494
28,x0028_X,11660,18978,4342
29,x0029_X,10657,16305,4163
30,x0030_X,13237,16976,5565
31,x0031_X,12943,17733,5102
32,x0032_X,12677,19449,5275
33,x0033_X,12792,17265,4923
34,x0034_X,12490,15652,5269
35,x0035_X,12876,17558,5612
36,x0036_X,12677,16010,5504
37,x0037_X,14384,17884,7072
38,x0038_X,13724,15755,6032
39,x0039_X,11059,14972,4845
40,x0040_X,12017,14771,5090
41,x0041_X,12911,15615,5404
42,x0042_X,14522,18722,5537
43,x0043_X,11863,13318,4465
44,x0044_X,13468,19101,5657
45,x0045_X,11987,15879,5287
46,x0046_X,12608,16556,5027
47,x0047_X,13279,13603,4996
48,x0048_X,11280,15466,4880
49,x0049_X,11899,17262,5292
50,x0050_X,13701,16373,5437
51,x0051_X,12744,14623,5273
52,x0052_X,17120,18619,5877
53,x0053_X,12985,17492,5301
54,x0054_X,14497,15290,5724
55,x0055_X,15314,16760,5054
56,x0056_X,14871,16035,5140
57,x0057_X,14410,16147,6028
58,x0058_X,13747,16129,5369
59,x0059_X,12980,15844,4329
60,x0060_X,12167,15104,4860
61,x0061_X,12225,15083,4570
62,x0062_X,13389,15510,4771
63,x0063_X,11665,16921,4310
64,x0064_X,12414,18175,4922
65,x0065_X,13683,19869,6069
66,x0066_X,13674,20267,5119
67,x0067_X,16535,21764,5954
68,x0068_X,13738,16821,4952
69,x0069_X,14559,18850,5094
70,x0070_X,14325,20291,5287
71,x0071_X,15942,21513,5910
72,x0072_X,14141,19480,6282
73,x0073_X,14786,21264,5566
74,x0074_X,15128,18302,5073
75,x0075_X,16505,20233,5457
76,x0076_X,16902,21535,5816
77,x0077_X,14655,17468,5005
78,x0078_X,16757,20376,5938
79,x0079_X,13872,16981,5193
80,x0080_X,12757,17450,4773
81,x0081_X,12047,19524,5014
82,x0082_X,14626,20061,5499
83,x0083_X,18903,22461,6841
84,x0084_X,15252,20783,6743
85,x0085_X,15756,20122,6027
86,x0086_X,14845,17985,6510
87,x0087_X,14398,20180,6177
88,x0088_X,17089,19864,6707
89,x0089_X,14538,20380,6123
90,x0090_X,13572,18297,5532
91,x0091_X,16648,19974,6449
92,x0092_X,15971,22216,6663
93,x0093_X,16889,21492,6469
94,x0094_X,17101,21640,7315
95,x0095_X,16943,22111,7002
96,x0096_X,15156,20187,5985
97,x0097_X,16476,19864,6731
98,x0098_X,17180,19338,6260
99,x0099_X,16052,19894,6540
100,x0100_X,17908,19634,7608
101,x0101_X,18422,22483,7923
102,x0102_X,14861,21021,6023
103,x0103_X,16539,19691,6548
104,x0104_X,16146,21183,7222
105,x0105_X,17137,20531,6883
106,x0106_X,16882,21637,6631
107,x0107_X,14894,18711,6016
108,x0108_X,16294,22858,6299
109,x0109_X,14021,19454,5306
110,x0110_X,16195,21880,5881
111,x0111_X,13597,19839,5624
112,x0112_X,13914,19862,5845
113,x0113_X,12887,17944,5754
114,x0114_X,14699,20060,7146
115,x0115_X,12889,16841,5515
116,x0116_X,13057,21233,6751
117,x0117_X,13665,19184,5101
118,x0118_X,13757,18399,6070
119,x0119_X,14768,19936,6912
120,x0120_X,11320,18432,5228
121,x0121_X,15326,20820,7219
122,x0122_X,13112,21288,6928
123,x0123_X,16242,22810,7613
124,x0124_X,15744,21150,7657
125,x0125_X,16224,22135,8612
126,x0126_X,12665,20721,5674
127,x0127_X,14674,19776,7745
128,x0128_X,16249,22829,8508
129,x0129_X,13126,19571,6084
130,x0130_X,13551,20154,6198
131,x0131_X,14055,21983,6448
132,x0132_X,13842,16335,5601
133,x0133_X,13937,18870,6533
134,x0134_X,13253,18044,6929
135,x0135_X,14108,18452,6500
136,x0136_X,15205,20015,7266
137,x0137_X,14316,18313,6992
138,x0138_X,12143,16551,5497
139,x0139_X,13191,19986,6444
140,x0140_X,12356,17465,5957
141,x0141_X,10983,16283,5887
142,x0142_X,13478,19552,6591
143,x0143_X,11163,16098,5379
144,x0144_X,13407,18837,6537
145,x0145_X,10371,15784,5723
146,x0146_X,10780,18228,5708
147,x0147_X,11951,16699,6330
148,x0148_X,12561,18911,6754
149,x0149_X,12333,19223,7504
150,x0150_X,11459,16067,6404
151,x0151_X,13671,17563,7269
152,x0152_X,12118,16719,6674
153,x0153_X,11382,16386,6162
154,x0154_X,11719,17123,5611
155,x0155_X,11134,17716,5080
156,x0156_X,9420,13673,4168
157,x0157_X,12398,17498,4820
158,x0158_X,11843,16023,5287
159,x0159_X,13691,17190,5165
160,x0160_X,10142,16335,4898
161,x0161_X,12564,17632,5315
162,x0162_X,13652,18002,5747
163,x0163_X,11105,17202,5104
164,x0164_X,9702,14491,4968
165,x0165_X,11151,17601,5178
166,x0166_X,11408,17248,5014
167,x0167_X,13606,20280,6869
168,x0168_X,9108,15781,4757
169,x0169_X,13112,17206,6267
170,x0170_X,12941,17270,5835
171,x0171_X,12542,16161,6542
172,x0172_X,12076,17112,6057
173,x0173_X,12270,14273,5083
174,x0174_X,10643,14694,5291
175,x0175_X,12155,15625,5631
176,x0176_X,10171,12598,4961
177,x0177_X,10486,12933,4784
178,x0178_X,8187,12990,4474
179,x0179_X,12360,17365,5786
180,x0180_X,11474,15388,5269
181,x0181_X,13605,15683,6490
182,x0182_X,12015,15512,5884
183,x0183_X,12541,17513,6261
184,x0184_X,12883,17375,5788
185,x0185_X,13028,16676,5276
186,x0186_X,10941,16318,4619
187,x0187_X,11777,16105,5014
188,x0188_X,14181,20368,5921
189,x0189_X,14017,21341,5397
190,x0190_X,12636,19309,5730
191,x0191_X,11430,16453,4757
192,x0192_X,12596,18028,5154
193,x0193_X,12388,16330,5998
194,x0194_X,14471,19629,6370
195,x0195_X,13648,16309,5288
196,x0196_X,11967,13758,5151
197,x0197_X,11524,13636,5965
198,x0198_X,14075,17813,5240
199,x0199_X,14878,18493,6532
200,x0200_X,12666,16740,5310
201,x0201_X,15555,15727,7221
202,x0202_X,13363,15192,5898
203,x0203_X,14437,18972,5931
204,x0204_X,13663,16369,5479
205,x0205_X,14984,18601,6318
206,x0206_X,11358,15047,5221
207,x0207_X,13312,15248,6156
208,x0208_X,13619,14681,5370
209,x0209_X,14965,15658,5692
210,x0210_X,12764,16121,6095
211,x0211_X,12211,14806,4861
212,x0212_X,12553,14165,5160
213,x0213_X,11147,14072,4671
214,x0214_X,13031,14986,5394
215,x0215_X,12642,15316,5453
216,x0216_X,13551,15571,6123
217,x0217_X,12793,15019,6379
218,x0218_X,13594,15999,6185
219,x0219_X,13596,16230,5154
220,x0220_X,14313,15691,6042
221,x0221_X,12219,14205,5202
222,x0222_X,13786,15788,5671
223,x0223_X,12481,15115,5300
224,x0224_X,13357,14908,5665
225,x0225_X,12168,12466,4527
226,x0226_X,14071,16307,5668
227,x0227_X,12915,15139,5616
228,x0228_X,15135,15513,5667
229,x0229_X,11771,12137,4772
230,x0230_X,12333,14426,4616
231,x0231_X,16325,17044,6252
232,x0232_X,10599,14655,3907
233,x0233_X,15216,18522,6732
234,x0234_X,14151,22542,6967
235,x0235_X,10276,15017,4353
236,x0236_X,10776,15577,4275
237,x0237_X,12446,18378,4687
238,x0238_X,11870,15411,4094
239,x0239_X,12224,16252,4164
240,x0240_X,12464,16385,5342
241,x0241_X,10806,15242,4333
242,x0242_X,11499,17646,4525
243,x0243_X,11488,13084,3631
244,x0244_X,12589,14602,4435
245,x0245_X,12342,17481,5157
246,x0246_X,9319,13893,4049
247,x0247_X,13043,15524,5363
248,x0248_X,14193,16703,5689
249,x0249_X,11575,15128,4422
250,x0250_X,14484,19525,5612
251,x0251_X,12125,18672,5518
252,x0252_X,14028,18293,5629
253,x0253_X,13428,17696,5461
254,x0254_X,14258,17646,5224
255,x0255_X,11892,16203,5058
256,x0256_X,13417,20237,5967
257,x0257_X,14246,20984,5240
258,x0258_X,13716,19010,6334
259,x0259_X,12561,18506,5789
260,x0260_X,13537,17890,5974
261,x0261_X,13096,19780,5627
262,x0262_X,12300,19493,5335
263,x0263_X,11352,18169,5459
264,x0264_X,11775,19493,5047
265,x0265_X,11039,16343,4749
266,x0266_X,9057,15640,4706
267,x0267_X,11080,18743,5955
268,x0268_X,10812,15589,4724
269,x0269_X,11879,18404,5495
270,x0270_X,10231,15691,4213
271,x0271_X,11001,14853,4774
272,x0272_X,12019,20277,5379
273,x0273_X,12851,20905,5025
274,x0274_X,9581,17090,3710
275,x0275_X,11103,18127,5223
276,x0276_X,9634,17156,4585
277,x0277_X,11014,16950,4932
278,x0278_X,10861,17698,4852
279,x0279_X,12858,20991,5211
280,x0280_X,11443,17832,4916
281,x0281_X,12741,18273,5571
282,x0282_X,9432,17036,4160
283,x0283_X,11921,20109,5098
284,x0284_X,9740,18569,5361
285,x0285_X,11159,16262,4457
286,x0286_X,10269,14033,4618
287,x0287_X,11955,20315,5680
288,x0288_X,11513,18512,4955
289,x0289_X,13084,21140,5962
290,x0290_X,12994,19107,5300
291,x0291_X,11671,18538,4771
292,x0292_X,12370,17360,4986
293,x0293_X,11294,14243,4598
294,x0294_X,13486,16563,5462
295,x0295_X,13916,15871,5193
296,x0296_X,13320,16661,6065
297,x0297_X,11760,15664,5216
298,x0298_X,15125,17847,6649
299,x0299_X,13374,16839,5565
300,x0300_X,11280,15309,4786
301,x0301_X,12929,19562,5459
302,x0302_X,13407,17820,5901
303,x0303_X,12560,15719,5651
304,x0304_X,11855,18287,5636
305,x0305_X,13464,17964,5428
306,x0306_X,14622,19908,7086
307,x0307_X,13446,20524,6785
308,x0308_X,13638,20558,6274
309,x0309_X,15649,21939,7262
310,x0310_X,13172,18980,6351
311,x0311_X,11351,17824,5016
312,x0312_X,12826,19830,6125
313,x0313_X,13597,20307,6851
314,x0314_X,11270,16656,5227
