,protid,P,S,C
0,x0000_ ,3138,9565,2175
1,x0001_ ,3056,8950,1689
2,x0002_ ,2399,7191,1585
3,x0003_ ,2852,8669,1520
4,x0004_ ,2782,9130,1618
5,x0005_ ,3265,7792,1504
6,x0006_ ,3857,7162,1701
7,x0007_ ,3367,8347,1816
8,x0008_ ,3602,8595,1498
9,x0009_ ,3379,8620,1367
10,x0010_ ,3213,9143,1505
11,x0011_ ,3227,8105,1388
12,x0012_ ,3001,6855,1170
13,x0013_ ,2280,7015,1001
14,x0014_ ,3158,7991,1097
15,x0015_ ,3173,8020,1368
16,x0016_ ,3106,8759,1176
17,x0017_ ,2238,4988,902
18,x0018_ ,2677,5607,1032
19,x0019_ ,1921,4418,921
20,x0020_ ,2134,5754,1023
21,x0021_ ,2151,5683,944
22,x0022_ ,2348,6183,1060
23,x0023_ ,2457,5350,1238
24,x0024_ ,2224,6981,948
25,x0025_ ,3356,8860,1479
26,x0026_ ,2973,7454,1508
27,x0027_ ,3511,8240,1615
28,x0028_ ,3922,7330,1628
29,x0029_ ,3360,6344,1322
30,x0030_ ,3442,6253,1331
31,x0031_ ,3500,8261,1280
32,x0032_ ,3785,8944,1299
33,x0033_ ,3515,6123,1388
34,x0034_ ,3673,7469,1419
35,x0035_ ,3189,6090,1161
36,x0036_ ,2543,6108,1079
37,x0037_ ,3094,7196,1186
38,x0038_ ,3260,7423,1407
39,x0039_ ,3940,5818,1417
40,x0040_ ,4352,6563,1488
41,x0041_ ,3364,6684,1277
42,x0042_ ,3816,6922,1665
43,x0043_ ,4359,7298,1709
44,x0044_ ,4426,6803,1651
45,x0045_ ,3905,5340,1486
46,x0046_ ,4976,7670,2060
47,x0047_ ,4374,4986,1518
48,x0048_ ,4445,7367,1718
49,x0049_ ,4421,6252,1730
50,x0050_ ,3938,7252,1371
51,x0051_ ,4954,7584,1827
52,x0052_ ,3806,6848,1436
53,x0053_ ,3956,6610,1524
54,x0054_ ,4216,5862,1398
55,x0055_ ,3954,5319,1312
56,x0056_ ,3558,5041,1131
57,x0057_ ,3511,5775,1154
58,x0058_ ,4012,6270,1499
59,x0059_ ,4231,5411,1384
60,x0060_ ,4048,5809,1468
61,x0061_ ,4010,5670,1346
62,x0062_ ,4447,7511,1903
63,x0063_ ,4015,6350,1416
64,x0064_ ,4316,5775,1385
65,x0065_ ,4307,5855,1466
66,x0066_ ,3959,5602,1317
67,x0067_ ,3529,5749,1162
68,x0068_ ,4069,6448,1573
69,x0069_ ,3084,6295,1061
70,x0070_ ,3682,6319,1324
71,x0071_ ,4112,6527,1296
72,x0072_ ,3538,5487,1128
73,x0073_ ,4880,6828,1658
74,x0074_ ,4183,5519,1473
75,x0075_ ,3668,5473,1155
76,x0076_ ,4423,6594,1386
77,x0077_ ,4463,6813,1444
78,x0078_ ,3365,5380,1125
79,x0079_ ,3960,6110,1406
80,x0080_ ,3470,5531,1295
81,x0081_ ,5296,7186,1714
82,x0082_ ,5014,6692,1660
83,x0083_ ,4608,5587,1433
84,x0084_ ,3722,5905,1251
85,x0085_ ,3739,4598,1254
86,x0086_ ,4130,5688,1357
87,x0087_ ,4564,5618,1599
88,x0088_ ,4055,4562,1394
89,x0089_ ,4889,4824,1462
90,x0090_ ,3469,3892,1024
91,x0091_ ,3825,5434,1326
92,x0092_ ,4418,4947,1366
93,x0093_ ,3916,4787,1167
94,x0094_ ,4830,5649,1611
95,x0095_ ,4787,4811,1577
96,x0096_ ,3632,4895,1064
97,x0097_ ,4031,4835,1287
98,x0098_ ,2915,5105,1025
99,x0099_ ,4494,5410,1271
100,x0100_ ,3415,4392,1104
101,x0101_ ,4440,5125,1461
102,x0102_ ,4139,5501,1238
103,x0103_ ,3561,6266,1199
104,x0104_ ,3592,4631,1230
105,x0105_ ,4344,4484,1468
106,x0106_ ,3203,4409,1166
107,x0107_ ,3895,4838,1278
108,x0108_ ,3441,3484,1076
109,x0109_ ,4528,3935,1267
110,x0110_ ,4386,4423,1202
111,x0111_ ,4200,4846,1394
112,x0112_ ,4421,4056,1253
113,x0113_ ,4125,4714,1314
114,x0114_ ,3932,4403,1256
115,x0115_ ,4021,3718,1172
116,x0116_ ,4013,3695,1070
117,x0117_ ,3208,4065,983
118,x0118_ ,3912,4492,1326
119,x0119_ ,4280,4806,1354
120,x0120_ ,4546,5049,1431
121,x0121_ ,4535,4174,1444
122,x0122_ ,4388,4767,1430
123,x0123_ ,4344,4126,1260
124,x0124_ ,3115,4134,1007
125,x0125_ ,3771,4612,1208
126,x0126_ ,3570,4152,1189
127,x0127_ ,3598,4250,1063
128,x0128_ ,3823,4702,1205
129,x0129_ ,4661,4535,1389
130,x0130_ ,3237,3532,981
131,x0131_ ,3996,4934,1223
132,x0132_ ,4326,5094,1311
133,x0133_ ,3823,3748,1207
134,x0134_ ,4223,4445,1343
135,x0135_ ,3631,4665,1157
136,x0136_ ,3940,4235,1141
137,x0137_ ,4108,4480,1282
138,x0138_ ,2838,3861,927
139,x0139_ ,3706,5202,1103
140,x0140_ ,3430,4613,1273
141,x0141_ ,3728,5492,1220
142,x0142_ ,3462,4754,1237
143,x0143_ ,3874,5310,1256
144,x0144_ ,3407,4546,1092
145,x0145_ ,3435,4600,1281
146,x0146_ ,4152,4326,1113
147,x0147_ ,4262,5303,1313
148,x0148_ ,5139,5300,1651
149,x0149_ ,4447,5121,1458
150,x0150_ ,4007,4709,1437
151,x0151_ ,5209,4173,1496
152,x0152_ ,3891,5019,1386
153,x0153_ ,4298,4372,1483
154,x0154_ ,3719,3862,1065
155,x0155_ ,3779,4444,1368
156,x0156_ ,4876,5629,1741
157,x0157_ ,4280,4422,1309
158,x0158_ ,3557,4140,1081
159,x0159_ ,2992,3748,1261
160,x0160_ ,4221,4174,1335
161,x0161_ ,3051,4304,1160
162,x0162_ ,3248,5053,1152
163,x0163_ ,3829,4764,1277
164,x0164_ ,3462,4531,1187
165,x0165_ ,2990,4772,1016
166,x0166_ ,2543,4471,987
167,x0167_ ,3586,4946,1338
168,x0168_ ,3599,4698,1294
169,x0169_ ,2902,4536,947
