,protid,P,S,C
0,x0000_ ,74,542,50
1,x0001_ ,171,884,121
2,x0002_ ,143,907,126
3,x0003_ ,185,964,177
4,x0004_ ,231,1080,229
5,x0005_ ,223,1362,245
6,x0006_ ,200,1213,183
7,x0007_ ,201,1158,237
8,x0008_ ,214,1341,215
9,x0009_ ,198,1178,220
10,x0010_ ,273,1406,274
11,x0011_ ,220,1264,227
12,x0012_ ,236,975,220
13,x0013_ ,205,1354,211
14,x0014_ ,195,1109,181
15,x0015_ ,210,1241,202
16,x0016_ ,215,1163,218
17,x0017_ ,166,909,150
18,x0018_ ,210,873,192
19,x0019_ ,225,1101,214
20,x0020_ ,242,1094,260
21,x0021_ ,249,1193,211
22,x0022_ ,218,1072,195
23,x0023_ ,283,1236,251
24,x0024_ ,178,1106,201
25,x0025_ ,230,973,175
26,x0026_ ,256,1386,249
27,x0027_ ,269,1537,274
28,x0028_ ,281,1447,288
29,x0029_ ,212,1356,202
30,x0030_ ,196,1284,173
31,x0031_ ,195,1079,157
32,x0032_ ,253,1460,240
33,x0033_ ,304,1654,253
34,x0034_ ,415,1726,344
35,x0035_ ,332,1462,286
36,x0036_ ,319,1558,268
37,x0037_ ,321,1676,281
38,x0038_ ,333,1658,287
39,x0039_ ,318,1596,297
40,x0040_ ,416,1851,361
41,x0041_ ,357,1784,344
42,x0042_ ,300,1449,267
43,x0043_ ,365,1617,296
44,x0044_ ,365,1734,316
45,x0045_ ,413,1851,364
46,x0046_ ,406,1795,355
47,x0047_ ,407,1687,391
48,x0048_ ,340,1556,315
49,x0049_ ,437,1912,426
50,x0050_ ,385,1895,421
51,x0051_ ,455,2165,540
52,x0052_ ,470,1967,489
53,x0053_ ,416,2090,497
54,x0054_ ,499,2245,496
55,x0055_ ,519,2040,522
56,x0056_ ,429,1877,469
57,x0057_ ,417,1974,459
58,x0058_ ,358,1938,405
59,x0059_ ,404,1825,399
60,x0060_ ,305,1500,340
61,x0061_ ,431,1915,580
62,x0062_ ,372,1622,421
63,x0063_ ,393,1798,437
64,x0064_ ,484,2212,464
65,x0065_ ,327,1695,393
66,x0066_ ,555,2267,499
67,x0067_ ,396,2010,369
68,x0068_ ,402,1772,382
69,x0069_ ,448,1978,424
70,x0070_ ,433,1921,421
71,x0071_ ,367,1809,380
72,x0072_ ,417,1935,423
73,x0073_ ,503,2049,451
74,x0074_ ,368,1603,375
75,x0075_ ,463,2006,457
76,x0076_ ,425,1799,404
77,x0077_ ,471,2017,438
78,x0078_ ,382,1599,365
79,x0079_ ,473,1742,413
80,x0080_ ,473,1839,389
81,x0081_ ,473,1972,405
82,x0082_ ,444,1814,370
83,x0083_ ,506,2047,450
84,x0084_ ,412,1852,364
85,x0085_ ,427,1880,394
86,x0086_ ,399,1786,371
87,x0087_ ,382,1701,332
88,x0088_ ,395,1876,357
89,x0089_ ,413,1750,393
90,x0090_ ,455,1934,461
91,x0091_ ,456,1844,401
92,x0092_ ,486,2023,494
93,x0093_ ,601,2323,479
94,x0094_ ,466,1892,417
95,x0095_ ,430,1764,362
96,x0096_ ,456,1700,400
97,x0097_ ,441,1866,468
98,x0098_ ,442,1838,421
99,x0099_ ,469,1658,429
100,x0100_ ,419,1591,405
101,x0101_ ,355,1566,357
102,x0102_ ,434,1848,419
103,x0103_ ,462,1947,441
104,x0104_ ,459,1879,437
105,x0105_ ,449,2014,387
106,x0106_ ,432,1834,362
107,x0107_ ,539,2150,551
108,x0108_ ,597,2404,569
109,x0109_ ,465,2186,509
110,x0110_ ,472,2096,513
111,x0111_ ,578,2088,574
112,x0112_ ,502,2121,617
113,x0113_ ,507,1957,539
114,x0114_ ,556,1832,615
115,x0115_ ,583,2198,705
116,x0116_ ,558,1819,626
117,x0117_ ,511,1991,579
118,x0118_ ,553,1949,658
119,x0119_ ,522,1934,547
120,x0120_ ,699,2261,695
121,x0121_ ,846,2913,897
122,x0122_ ,827,2655,796
123,x0123_ ,996,2779,1076
124,x0124_ ,907,2903,943
125,x0125_ ,1051,3543,1077
126,x0126_ ,1154,3611,1230
127,x0127_ ,1063,3426,1182
128,x0128_ ,1443,3956,1504
129,x0129_ ,1145,3506,1235
130,x0130_ ,1203,3495,1297
131,x0131_ ,1157,3141,1162
132,x0132_ ,1178,3122,1265
133,x0133_ ,1059,3356,1150
134,x0134_ ,1148,3273,1250
135,x0135_ ,988,3021,1142
136,x0136_ ,1184,3516,1295
137,x0137_ ,1061,3259,1140
138,x0138_ ,1200,3599,1196
139,x0139_ ,1206,3014,1345
140,x0140_ ,1265,3556,1284
141,x0141_ ,1162,3327,1182
142,x0142_ ,1133,3011,1109
143,x0143_ ,1285,3527,1404
144,x0144_ ,1175,3103,1182
145,x0145_ ,1281,3512,1423
146,x0146_ ,1319,3637,1372
147,x0147_ ,1107,3314,1144
148,x0148_ ,1297,3218,1371
149,x0149_ ,1366,3291,1448
150,x0150_ ,1464,3834,1488
151,x0151_ ,1204,3142,1325
152,x0152_ ,1197,3364,1217
153,x0153_ ,1169,3427,1290
154,x0154_ ,1109,3546,1123
155,x0155_ ,1268,3342,1385
156,x0156_ ,862,3260,928
157,x0157_ ,1101,3430,1140
158,x0158_ ,1101,3286,1178
159,x0159_ ,1203,3324,1251
160,x0160_ ,910,2988,953
161,x0161_ ,1102,2869,1180
162,x0162_ ,890,2517,964
163,x0163_ ,1256,3378,1361
164,x0164_ ,974,2920,1156
165,x0165_ ,1113,3472,1301
166,x0166_ ,1153,3212,1306
167,x0167_ ,1049,3014,1190
168,x0168_ ,1187,3228,1256
169,x0169_ ,1038,2774,1138
170,x0170_ ,935,2783,938
171,x0171_ ,1044,2733,976
172,x0172_ ,1225,3364,1297
173,x0173_ ,1173,3029,1258
174,x0174_ ,1242,3410,1343
175,x0175_ ,1212,3505,1388
176,x0176_ ,1187,3252,1232
177,x0177_ ,1286,3011,1163
178,x0178_ ,1672,3591,1877
179,x0179_ ,1672,3431,1683
180,x0180_ ,1859,4080,1811
181,x0181_ ,1451,3790,1545
182,x0182_ ,1803,3637,1581
183,x0183_ ,2053,3888,1809
184,x0184_ ,1592,3599,1479
185,x0185_ ,1937,4288,1776
186,x0186_ ,1382,3325,1288
187,x0187_ ,1869,3810,1824
188,x0188_ ,1934,4184,1883
189,x0189_ ,1940,3786,1900
190,x0190_ ,1998,4312,1946
191,x0191_ ,1750,3918,1713
192,x0192_ ,2044,4020,1811
193,x0193_ ,2064,4403,2048
194,x0194_ ,1747,4257,1746
195,x0195_ ,1675,3916,1549
196,x0196_ ,1669,4005,1707
197,x0197_ ,1759,3820,1924
198,x0198_ ,1598,3636,1669
199,x0199_ ,1930,4394,1804
200,x0200_ ,1742,4270,1863
201,x0201_ ,1887,3801,1693
202,x0202_ ,1596,4065,1599
203,x0203_ ,1722,4228,1800
204,x0204_ ,1644,3744,1633
205,x0205_ ,1739,4360,1776
206,x0206_ ,1770,4101,1755
207,x0207_ ,1925,3849,1729
208,x0208_ ,1883,3995,1625
209,x0209_ ,1870,3605,1428
210,x0210_ ,2029,4022,1699
211,x0211_ ,1666,3830,1644
212,x0212_ ,1672,3639,1710
213,x0213_ ,1677,3959,1624
214,x0214_ ,1732,3925,1603
215,x0215_ ,1881,3950,1919
216,x0216_ ,1723,3931,1606
217,x0217_ ,1750,4135,1741
218,x0218_ ,1623,4249,1631
219,x0219_ ,1792,3977,1734
220,x0220_ ,1571,3482,1502
221,x0221_ ,1658,3847,1635
222,x0222_ ,1620,3705,1461
223,x0223_ ,1936,3958,1732
224,x0224_ ,1758,3780,1602
225,x0225_ ,1832,3629,1679
226,x0226_ ,1938,3717,1848
227,x0227_ ,1666,3830,1525
228,x0228_ ,1705,3443,1522
229,x0229_ ,1720,3584,1599
230,x0230_ ,1897,4091,1638
231,x0231_ ,1713,3953,1474
232,x0232_ ,1964,4056,1855
233,x0233_ ,1896,3891,1839
234,x0234_ ,1740,4150,1613
235,x0235_ ,1845,4057,1724
236,x0236_ ,1903,3716,1884
237,x0237_ ,1666,3671,1566
238,x0238_ ,1817,3985,1824
239,x0239_ ,1987,4490,1908
240,x0240_ ,1787,3688,1665
241,x0241_ ,1803,4005,1818
242,x0242_ ,1945,3988,1942
243,x0243_ ,1971,4298,1987
244,x0244_ ,1918,4002,1955
245,x0245_ ,1921,3811,1894
246,x0246_ ,1708,3793,1639
247,x0247_ ,1596,3376,1698
248,x0248_ ,1460,3685,1525
249,x0249_ ,1772,3803,1685
250,x0250_ ,2054,4143,1931
251,x0251_ ,1670,3716,1517
252,x0252_ ,1934,3650,1919
253,x0253_ ,1841,3669,1750
254,x0254_ ,1463,3502,1590
255,x0255_ ,1639,3720,1781
256,x0256_ ,1819,3726,1836
257,x0257_ ,1724,3897,1760
258,x0258_ ,1776,3727,1637
259,x0259_ ,1867,3913,1846
260,x0260_ ,1795,3881,1827
261,x0261_ ,1801,3780,1800
262,x0262_ ,1727,3594,1582
263,x0263_ ,1731,3331,1724
264,x0264_ ,1699,3595,1609
265,x0265_ ,1872,4023,1855
266,x0266_ ,1855,3637,1768
267,x0267_ ,1921,3688,1772
268,x0268_ ,1882,3629,1870
269,x0269_ ,1842,3791,1870
270,x0270_ ,1926,4159,1916
271,x0271_ ,2197,4113,1946
272,x0272_ ,2091,4155,1882
273,x0273_ ,1688,3721,1612
274,x0274_ ,1665,3298,1823
275,x0275_ ,1938,4028,1784
276,x0276_ ,1860,3576,1824
277,x0277_ ,1693,3714,1733
278,x0278_ ,2172,4296,2178
279,x0279_ ,1750,3515,1756
280,x0280_ ,1864,3855,1784
281,x0281_ ,1797,3524,1700
282,x0282_ ,1697,3417,1672
283,x0283_ ,1948,4001,1926
284,x0284_ ,1976,4067,1958
285,x0285_ ,1689,3920,1651
286,x0286_ ,1846,3582,1832
287,x0287_ ,2113,4096,1919
288,x0288_ ,2211,3924,1993
289,x0289_ ,1579,3642,1449
290,x0290_ ,1663,3754,1486
291,x0291_ ,1592,3284,1340
292,x0292_ ,1586,3543,1199
293,x0293_ ,1381,3456,1158
294,x0294_ ,1601,3952,1468
295,x0295_ ,1613,3579,1363
