,protid,P,S,C
0,x0000_X,27,117,9
1,x0001_X,46,154,10
2,x0002_X,28,134,9
3,x0003_X,99,220,32
4,x0004_X,87,177,36
5,x0005_X,101,187,37
6,x0006_X,81,183,36
7,x0007_X,80,189,31
8,x0008_X,99,130,24
9,x0009_X,92,202,31
10,x0010_X,100,207,44
11,x0011_X,129,307,60
12,x0012_X,125,300,40
13,x0013_X,101,222,28
14,x0014_X,160,311,57
15,x0015_X,96,184,20
16,x0016_X,113,233,32
17,x0017_X,135,239,32
18,x0018_X,82,188,30
19,x0019_X,112,189,24
20,x0020_X,98,209,44
21,x0021_X,95,202,28
22,x0022_X,95,230,26
23,x0023_X,85,210,30
24,x0024_X,116,261,29
25,x0025_X,126,243,37
26,x0026_X,94,191,15
27,x0027_X,74,186,16
28,x0028_X,128,307,30
29,x0029_X,105,302,28
30,x0030_X,67,238,20
31,x0031_X,99,281,26
32,x0032_X,150,328,18
33,x0033_X,133,328,35
34,x0034_X,121,292,22
35,x0035_X,110,297,28
36,x0036_X,168,421,41
37,x0037_X,163,378,54
38,x0038_X,144,346,38
39,x0039_X,161,371,29
40,x0040_X,168,415,47
41,x0041_X,137,353,38
42,x0042_X,134,355,39
43,x0043_X,122,271,42
44,x0044_X,163,355,43
45,x0045_X,178,395,57
46,x0046_X,146,217,43
47,x0047_X,132,262,41
48,x0048_X,147,336,45
49,x0049_X,150,392,88
50,x0050_X,99,313,53
51,x0051_X,142,417,71
52,x0052_X,126,344,58
53,x0053_X,149,394,87
54,x0054_X,176,466,99
55,x0055_X,161,447,95
56,x0056_X,200,523,97
57,x0057_X,220,505,136
58,x0058_X,234,601,155
59,x0059_X,223,537,143
60,x0060_X,347,797,234
61,x0061_X,369,796,266
62,x0062_X,294,683,199
63,x0063_X,330,674,221
64,x0064_X,325,727,223
65,x0065_X,255,690,136
66,x0066_X,317,747,211
67,x0067_X,456,1010,304
68,x0068_X,387,880,273
69,x0069_X,304,737,234
70,x0070_X,353,944,243
71,x0071_X,320,947,273
72,x0072_X,416,1131,283
73,x0073_X,395,987,271
74,x0074_X,446,1303,331
75,x0075_X,359,981,256
76,x0076_X,436,1168,287
77,x0077_X,419,1009,283
78,x0078_X,399,1144,287
79,x0079_X,348,960,232
80,x0080_X,391,983,279
81,x0081_X,332,955,253
82,x0082_X,363,1037,253
83,x0083_X,351,1050,252
84,x0084_X,437,1159,295
85,x0085_X,401,1134,295
86,x0086_X,366,1124,280
87,x0087_X,459,1257,364
88,x0088_X,431,1137,323
89,x0089_X,435,1126,330
90,x0090_X,516,1264,431
91,x0091_X,610,1284,521
92,x0092_X,518,1343,417
93,x0093_X,668,1517,516
94,x0094_X,689,1718,519
95,x0095_X,639,1469,520
96,x0096_X,669,1269,547
97,x0097_X,548,1234,429
98,x0098_X,648,1382,526
99,x0099_X,721,1451,529
100,x0100_X,658,1341,486
101,x0101_X,623,1594,484
102,x0102_X,628,1374,483
103,x0103_X,606,1468,411
104,x0104_X,674,1438,516
105,x0105_X,523,1177,380
106,x0106_X,545,1265,401
107,x0107_X,498,1243,404
108,x0108_X,655,1579,541
109,x0109_X,746,1605,652
110,x0110_X,707,1517,626
111,x0111_X,648,1537,516
112,x0112_X,605,1412,539
113,x0113_X,640,1382,606
114,x0114_X,590,1376,519
115,x0115_X,727,1580,619
116,x0116_X,829,2016,725
117,x0117_X,751,1661,669
118,x0118_X,619,1320,546
119,x0119_X,753,1598,652
120,x0120_X,790,1653,717
121,x0121_X,773,1626,682
122,x0122_X,678,1624,624
123,x0123_X,748,1483,619
124,x0124_X,667,1315,646
125,x0125_X,591,1192,563
126,x0126_X,744,1391,640
127,x0127_X,667,1315,574
128,x0128_X,741,1691,649
129,x0129_X,761,1798,681
130,x0130_X,744,1677,660
131,x0131_X,765,1581,657
132,x0132_X,674,1496,605
133,x0133_X,702,1432,641
134,x0134_X,651,1530,669
135,x0135_X,702,1389,610
136,x0136_X,688,1398,615
137,x0137_X,782,1559,662
138,x0138_X,762,1546,695
139,x0139_X,625,1296,635
140,x0140_X,699,1580,724
141,x0141_X,809,1791,721
142,x0142_X,691,1429,655
143,x0143_X,631,1352,573
144,x0144_X,604,1498,599
145,x0145_X,562,1291,493
146,x0146_X,645,1470,586
147,x0147_X,673,1367,588
148,x0148_X,721,1629,653
149,x0149_X,725,1456,669
150,x0150_X,628,1598,549
151,x0151_X,665,1682,579
152,x0152_X,617,1519,565
153,x0153_X,714,1749,618
154,x0154_X,775,1741,644
155,x0155_X,733,1527,666
156,x0156_X,676,1589,585
157,x0157_X,722,1791,568
158,x0158_X,625,1416,515
159,x0159_X,861,2053,741
160,x0160_X,693,1691,619
161,x0161_X,677,1566,532
162,x0162_X,661,1342,625
163,x0163_X,757,1593,653
164,x0164_X,717,1663,623
165,x0165_X,740,1812,608
166,x0166_X,810,2002,674
167,x0167_X,864,2070,721
168,x0168_X,801,2139,715
169,x0169_X,841,2156,744
170,x0170_X,904,2124,713
171,x0171_X,760,2028,615
172,x0172_X,742,1720,619
173,x0173_X,772,1779,609
174,x0174_X,765,1904,652
175,x0175_X,715,1734,632
176,x0176_X,775,2028,683
177,x0177_X,761,1895,665
178,x0178_X,772,1968,663
179,x0179_X,888,2038,729
180,x0180_X,808,1841,672
181,x0181_X,766,1714,601
182,x0182_X,691,1555,604
183,x0183_X,788,1819,714
184,x0184_X,905,2056,780
185,x0185_X,884,2132,725
186,x0186_X,767,1758,635
187,x0187_X,758,1771,631
188,x0188_X,775,1934,612
189,x0189_X,745,1759,656
190,x0190_X,781,1790,669
191,x0191_X,752,1828,741
192,x0192_X,848,2055,752
193,x0193_X,710,1795,655
194,x0194_X,811,1896,696
195,x0195_X,688,1654,584
196,x0196_X,705,1669,629
197,x0197_X,719,1745,617
198,x0198_X,745,1820,675
199,x0199_X,815,1898,690
200,x0200_X,697,1633,596
201,x0201_X,782,1835,704
202,x0202_X,795,1773,672
203,x0203_X,729,1720,632
204,x0204_X,773,1937,693
205,x0205_X,711,1837,612
206,x0206_X,696,1726,581
207,x0207_X,684,1606,636
208,x0208_X,753,1847,640
209,x0209_X,781,1938,684
210,x0210_X,697,1821,642
211,x0211_X,708,1828,624
212,x0212_X,711,1744,626
213,x0213_X,813,1879,711
214,x0214_X,890,2246,780
215,x0215_X,737,1887,697
216,x0216_X,798,1950,738
217,x0217_X,782,1814,725
218,x0218_X,896,2161,771
219,x0219_X,802,1969,715
220,x0220_X,786,1856,761
221,x0221_X,874,1978,803
