,protid,P,S,C
0,x0000_X,1840,8990,798
1,x0001_X,1738,6147,630
2,x0002_X,1979,6999,613
3,x0003_X,1923,6825,705
4,x0004_X,2044,7213,754
5,x0005_X,2093,7128,790
6,x0006_X,1645,6208,532
7,x0007_X,1590,5899,512
8,x0008_X,2322,8854,759
9,x0009_X,1934,7184,612
10,x0010_X,1926,7154,650
11,x0011_X,1864,8561,750
12,x0012_X,2113,8031,882
13,x0013_X,1962,8426,787
14,x0014_X,2251,8840,844
15,x0015_X,2657,9360,1186
16,x0016_X,2875,10377,1283
17,x0017_X,2264,9138,1159
18,x0018_X,2940,10953,1158
19,x0019_X,2409,9470,1001
20,x0020_X,2518,9075,1127
21,x0021_X,2168,7698,719
22,x0022_X,1916,6739,798
23,x0023_X,2375,7574,929
24,x0024_X,2044,7374,878
25,x0025_X,2477,7386,1015
26,x0026_X,1862,6965,903
27,x0027_X,1973,6943,537
28,x0028_X,2006,7446,844
29,x0029_X,1958,7403,792
30,x0030_X,1953,6384,843
31,x0031_X,2639,7907,930
32,x0032_X,2155,7259,739
33,x0033_X,2000,6835,756
34,x0034_X,2604,10186,1071
35,x0035_X,2880,10138,1178
36,x0036_X,2348,9090,965
37,x0037_X,2448,8772,1026
38,x0038_X,2180,7320,796
39,x0039_X,3125,9256,985
40,x0040_X,2142,7988,896
41,x0041_X,2474,8669,1103
42,x0042_X,2466,8332,983
43,x0043_X,2500,8849,1212
44,x0044_X,2593,8290,1363
45,x0045_X,2623,8516,1741
46,x0046_X,2505,8624,1591
47,x0047_X,2809,8771,1786
48,x0048_X,3211,9581,2086
49,x0049_X,2739,7890,1774
50,x0050_X,3506,10959,2006
51,x0051_X,3847,10815,2543
52,x0052_X,4422,13228,2450
53,x0053_X,3425,11014,2032
54,x0054_X,3087,9509,1939
55,x0055_X,3230,10450,2073
56,x0056_X,3140,9376,2019
57,x0057_X,3945,11690,2510
58,x0058_X,4201,10935,3200
59,x0059_X,4386,12581,2933
60,x0060_X,3710,9931,2649
61,x0061_X,3211,9103,2221
62,x0062_X,3466,9230,2529
63,x0063_X,4381,11871,3054
64,x0064_X,4142,11212,2982
65,x0065_X,3575,9119,2357
66,x0066_X,3982,11465,2698
67,x0067_X,4604,12515,3384
68,x0068_X,4611,12686,3409
69,x0069_X,4115,11160,3253
70,x0070_X,3696,10553,2956
71,x0071_X,3823,10734,3021
72,x0072_X,3917,13706,2678
73,x0073_X,3759,11261,2558
74,x0074_X,4403,14109,3224
75,x0075_X,3558,10073,2840
76,x0076_X,5222,14647,4441
77,x0077_X,3484,9777,2670
78,x0078_X,3952,11272,2921
79,x0079_X,3673,10540,2623
80,x0080_X,4517,11845,3141
81,x0081_X,4331,12193,3376
82,x0082_X,4334,14320,2874
83,x0083_X,3833,11365,2757
84,x0084_X,4238,11979,2893
85,x0085_X,5298,14402,3736
86,x0086_X,4772,12855,3488
87,x0087_X,4642,13873,3640
88,x0088_X,4686,12052,3162
89,x0089_X,4296,10932,2727
90,x0090_X,5716,13739,4198
91,x0091_X,5018,12514,3789
92,x0092_X,5354,14102,3764
93,x0093_X,4867,12745,3709
94,x0094_X,4546,12953,3207
95,x0095_X,5121,13354,3680
96,x0096_X,6479,16197,4352
97,x0097_X,5308,13243,3604
98,x0098_X,5116,14404,3700
99,x0099_X,5522,13609,4089
100,x0100_X,5467,12781,3907
101,x0101_X,5469,13285,4037
102,x0102_X,4737,11189,3184
103,x0103_X,4787,13732,3217
104,x0104_X,4753,13914,3278
105,x0105_X,4932,12866,3938
106,x0106_X,5671,13472,3862
107,x0107_X,5593,13022,3963
108,x0108_X,4572,9905,3101
109,x0109_X,4555,10907,3259
110,x0110_X,5185,11985,3740
111,x0111_X,4800,11652,3648
112,x0112_X,4568,12031,3501
113,x0113_X,6080,12632,4293
114,x0114_X,6616,13132,4562
115,x0115_X,4763,10719,3239
116,x0116_X,4211,9036,3043
117,x0117_X,5805,15111,4060
118,x0118_X,4967,11955,2978
119,x0119_X,4978,11830,3292
120,x0120_X,5034,11500,3566
121,x0121_X,4921,12455,3534
122,x0122_X,4951,11303,3646
123,x0123_X,4792,11482,3427
124,x0124_X,3743,9118,2892
125,x0125_X,5173,11773,3557
126,x0126_X,4880,11626,3594
127,x0127_X,5185,12598,3953
128,x0128_X,5450,12801,4115
129,x0129_X,5193,12366,3556
130,x0130_X,5680,12801,4097
131,x0131_X,5201,13583,4007
132,x0132_X,5098,12157,3655
133,x0133_X,4972,10735,3599
134,x0134_X,4963,11437,3301
135,x0135_X,6399,14975,5191
136,x0136_X,5818,12854,4119
137,x0137_X,4982,11189,3530
138,x0138_X,4866,10744,3500
139,x0139_X,5230,11961,3924
140,x0140_X,5276,11796,3838
141,x0141_X,5587,12525,4254
142,x0142_X,6108,14544,4773
143,x0143_X,5318,12976,4284
144,x0144_X,4834,12617,3664
145,x0145_X,4961,12381,3364
146,x0146_X,5445,12056,4027
147,x0147_X,5559,10939,4005
148,x0148_X,5259,10242,3805
149,x0149_X,5969,10826,4115
150,x0150_X,5826,10233,4242
151,x0151_X,5048,10057,3423
152,x0152_X,5814,10494,3993
153,x0153_X,5039,11301,3961
154,x0154_X,4568,11166,2987
155,x0155_X,4542,10299,2925
156,x0156_X,4881,8989,3335
157,x0157_X,4467,9706,3218
158,x0158_X,4796,11001,3904
159,x0159_X,5364,9991,4346
160,x0160_X,4893,9258,3615
161,x0161_X,4651,11855,3195
162,x0162_X,4681,9184,3340
163,x0163_X,4815,10005,3516
164,x0164_X,5265,10409,3436
165,x0165_X,4867,9398,3126
166,x0166_X,4391,10552,3012
167,x0167_X,4627,9822,3129
168,x0168_X,5412,11982,3516
169,x0169_X,4315,10407,2856
170,x0170_X,3925,9691,3037
171,x0171_X,5507,11317,3882
172,x0172_X,4726,9083,3582
173,x0173_X,5355,10972,3773
174,x0174_X,5081,11454,3365
175,x0175_X,4806,9979,3551
176,x0176_X,4450,8402,3619
177,x0177_X,4285,11490,3335
178,x0178_X,4592,10279,3465
179,x0179_X,4839,10216,3666
180,x0180_X,5284,10933,4084
181,x0181_X,4606,8750,3480
182,x0182_X,4861,10495,3559
183,x0183_X,4204,9471,2796
184,x0184_X,4487,10198,3081
185,x0185_X,4888,10711,3511
186,x0186_X,5157,9490,3689
187,x0187_X,4146,9016,2948
188,x0188_X,3717,8355,2463
189,x0189_X,4481,10233,3241
190,x0190_X,4421,9959,3011
191,x0191_X,3962,8855,3293
192,x0192_X,3474,9518,2761
193,x0193_X,4463,10716,3349
194,x0194_X,5177,11442,4087
195,x0195_X,4159,9234,3260
196,x0196_X,6063,12514,4214
197,x0197_X,5936,13518,3982
198,x0198_X,4917,9450,3399
199,x0199_X,4826,10461,3241
200,x0200_X,5070,10768,3665
201,x0201_X,4623,11250,3237
202,x0202_X,4699,9655,3412
203,x0203_X,5425,10845,3630
204,x0204_X,4786,10568,3561
205,x0205_X,5789,11231,4301
206,x0206_X,3574,8227,2564
207,x0207_X,4382,10997,3342
208,x0208_X,4366,10185,3404
209,x0209_X,3748,9464,2719
210,x0210_X,5536,11738,4462
211,x0211_X,4418,8367,4051
212,x0212_X,4220,9365,3435
213,x0213_X,4455,8940,3076
214,x0214_X,4993,10610,3703
215,x0215_X,4342,9959,3654
216,x0216_X,3985,10045,3175
217,x0217_X,3314,7678,3036
218,x0218_X,4620,10355,3553
219,x0219_X,3773,9378,2959
220,x0220_X,4347,10002,3229
221,x0221_X,4918,9398,3639
222,x0222_X,4427,10505,3213
223,x0223_X,5227,12668,3841
224,x0224_X,4944,12358,3201
225,x0225_X,4843,10687,3580
226,x0226_X,4401,10927,3393
227,x0227_X,4397,11781,3325
228,x0228_X,5190,11570,3946
229,x0229_X,4795,11612,3493
230,x0230_X,3957,8454,2989
231,x0231_X,4805,11089,3021
232,x0232_X,5332,12608,4005
233,x0233_X,3844,10805,2742
234,x0234_X,5013,11655,3835
235,x0235_X,5322,11748,3840
236,x0236_X,4778,12544,3793
237,x0237_X,3937,9525,3009
238,x0238_X,5213,10619,3671
239,x0239_X,4588,12054,3458
240,x0240_X,5059,11436,3605
241,x0241_X,4988,12285,3433
242,x0242_X,4349,10798,3381
243,x0243_X,4611,12654,3238
244,x0244_X,4895,10986,3820
245,x0245_X,5097,12038,3775
246,x0246_X,4010,10698,3247
247,x0247_X,3958,8949,2669
248,x0248_X,4147,9113,3211
249,x0249_X,4914,11402,3584
250,x0250_X,4196,10425,2957
251,x0251_X,4692,14256,3630
252,x0252_X,3999,10912,2855
253,x0253_X,4744,12757,3614
254,x0254_X,4603,12148,3149
255,x0255_X,4100,10239,3239
256,x0256_X,4099,9773,3148
257,x0257_X,4862,13452,3631
258,x0258_X,4899,12243,3564
259,x0259_X,4777,10540,3598
260,x0260_X,4899,12880,3749
261,x0261_X,4016,10986,3526
262,x0262_X,5866,12809,4330
263,x0263_X,5192,11224,3885
264,x0264_X,4204,10894,3238
265,x0265_X,4989,11944,3570
266,x0266_X,4726,10938,3642
267,x0267_X,4987,11834,4089
268,x0268_X,4182,9694,3144
269,x0269_X,5640,12867,4284
270,x0270_X,4631,10358,3539
271,x0271_X,5247,11353,3903
272,x0272_X,5329,11941,4051
273,x0273_X,5483,11737,3690
274,x0274_X,4547,11255,3308
275,x0275_X,5206,11523,3774
276,x0276_X,4346,10795,3580
277,x0277_X,5287,11952,3876
278,x0278_X,5131,11949,3423
279,x0279_X,5294,12900,3542
280,x0280_X,4945,12319,3442
281,x0281_X,4910,10793,3603
282,x0282_X,4414,10333,3398
283,x0283_X,5361,12830,3754
284,x0284_X,3940,12013,2768
285,x0285_X,5259,9664,3605
286,x0286_X,4494,12002,3404
287,x0287_X,4365,11812,2738
288,x0288_X,4559,10128,3079
289,x0289_X,6283,13609,3979
290,x0290_X,4445,10971,3499
291,x0291_X,4705,12003,3392
292,x0292_X,5176,14129,3915
293,x0293_X,4651,11927,3522
294,x0294_X,4792,11044,3470
295,x0295_X,5136,11323,3441
296,x0296_X,4470,12730,3101
297,x0297_X,3605,11320,2841
298,x0298_X,4548,11363,2810
299,x0299_X,4304,12006,3193
300,x0300_X,3971,10558,2676
301,x0301_X,4801,12363,3542
302,x0302_X,5064,14108,3406
303,x0303_X,4846,11570,3087
304,x0304_X,4529,12086,3086
305,x0305_X,4964,11581,3756
306,x0306_X,4967,11978,3558
307,x0307_X,4090,11866,2959
308,x0308_X,5240,12420,3868
309,x0309_X,4948,12755,3618
310,x0310_X,4549,10784,3195
311,x0311_X,4086,11044,3206
312,x0312_X,3955,10889,3301
313,x0313_X,4385,10073,3878
314,x0314_X,4648,10398,3482
315,x0315_X,3925,11099,2931
316,x0316_X,4225,9663,3503
317,x0317_X,5612,11853,4690
318,x0318_X,4813,11187,3503
319,x0319_X,3762,8279,3010
320,x0320_X,3719,9091,3300
321,x0321_X,4872,11767,4067
322,x0322_X,3902,10337,3339
323,x0323_X,5064,10306,3351
324,x0324_X,4080,7328,2788
325,x0325_X,4453,9440,3312
326,x0326_X,3884,8721,2971
327,x0327_X,3701,8630,2547
328,x0328_X,4642,10117,3386
329,x0329_X,5099,9578,4044
330,x0330_X,5193,12281,3641
331,x0331_X,4202,8945,3143
332,x0332_X,4714,9960,3854
333,x0333_X,5037,10312,3372
334,x0334_X,4916,11603,3381
335,x0335_X,4809,11841,3651
336,x0336_X,4170,8991,3129
337,x0337_X,4840,10115,3381
338,x0338_X,4442,10767,3319
339,x0339_X,4598,9047,4121
340,x0340_X,3915,8529,2956
341,x0341_X,5044,10972,4084
342,x0342_X,4361,10377,3790
343,x0343_X,4444,8973,3419
344,x0344_X,3810,9128,2993
345,x0345_X,4549,10752,3614
346,x0346_X,4660,11106,3935
347,x0347_X,5250,10637,4414
348,x0348_X,5251,12233,4044
349,x0349_X,4578,10069,3689
350,x0350_X,5221,12282,4233
351,x0351_X,5298,10727,4478
352,x0352_X,4940,11367,3793
353,x0353_X,4574,10110,3844
354,x0354_X,3504,8503,2871
355,x0355_X,5074,10974,4052
356,x0356_X,5163,11839,4734
357,x0357_X,3955,10080,3170
358,x0358_X,4167,9307,3362
359,x0359_X,4025,9805,3375
360,x0360_X,4836,11146,3918
361,x0361_X,3836,8161,3054
362,x0362_X,4884,11015,3802
363,x0363_X,5032,10638,4031
364,x0364_X,4767,9928,3833
365,x0365_X,5087,11138,3675
366,x0366_X,3969,8292,3492
367,x0367_X,4023,9161,3287
368,x0368_X,4992,11213,4096
369,x0369_X,4961,11594,3948
370,x0370_X,4941,10350,3819
371,x0371_X,4650,9794,3892
372,x0372_X,5379,10887,4237
373,x0373_X,4331,11067,3712
374,x0374_X,5389,12304,4462
375,x0375_X,4716,10313,3692
376,x0376_X,5526,12209,4210
377,x0377_X,4689,9735,3531
378,x0378_X,3758,9411,2941
379,x0379_X,3428,8447,2321
380,x0380_X,4458,10297,3200
381,x0381_X,4720,10578,3617
382,x0382_X,4346,10728,3454
383,x0383_X,4448,10072,3058
384,x0384_X,4635,11328,3343
385,x0385_X,3699,8776,2925
386,x0386_X,4283,10032,3451
387,x0387_X,4650,10643,4013
388,x0388_X,4913,12240,4375
389,x0389_X,4805,11075,3821
390,x0390_X,3650,10588,2782
391,x0391_X,4161,9066,3063
392,x0392_X,4448,8579,3809
393,x0393_X,4099,9632,3105
394,x0394_X,4119,9941,3145
395,x0395_X,5023,11171,3906
396,x0396_X,4451,11940,3310
397,x0397_X,5230,12859,3647
398,x0398_X,4434,9841,3303
399,x0399_X,4646,11061,3403
400,x0400_X,4554,9013,4011
401,x0401_X,3974,8785,2994
402,x0402_X,4170,9171,3679
403,x0403_X,5097,10534,3872
404,x0404_X,4297,9388,3706
405,x0405_X,3518,8631,3427
406,x0406_X,3892,7907,2907
407,x0407_X,4522,9349,3334
408,x0408_X,4416,10244,3485
409,x0409_X,4854,10251,3616
410,x0410_X,4684,9632,3450
411,x0411_X,3835,8916,3002
412,x0412_X,4089,9463,3101
413,x0413_X,4221,9895,2904
414,x0414_X,3866,9328,3277
415,x0415_X,4177,9130,3346
416,x0416_X,4498,7186,3194
417,x0417_X,4938,10966,3996
418,x0418_X,4529,11283,3103
419,x0419_X,4946,12018,3742
420,x0420_X,4832,9764,3549
421,x0421_X,4331,9828,3607
422,x0422_X,3973,9102,3035
423,x0423_X,3790,8677,3109
424,x0424_X,4272,8823,3741
425,x0425_X,3846,8936,3508
426,x0426_X,4265,9783,3157
427,x0427_X,5509,11395,4211
428,x0428_X,5107,9710,4489
429,x0429_X,5747,10975,4393
430,x0430_X,5655,10902,3543
431,x0431_X,5760,10836,3907
432,x0432_X,5003,10426,3681
433,x0433_X,6038,12679,4288
434,x0434_X,4882,10043,3411
435,x0435_X,5459,12086,4400
436,x0436_X,4763,9984,3589
437,x0437_X,3765,7255,3008
438,x0438_X,4367,9504,2965
439,x0439_X,4942,9104,3159
440,x0440_X,4669,9664,3245
441,x0441_X,4815,9656,3674
442,x0442_X,4761,9874,3510
443,x0443_X,5775,10978,4157
444,x0444_X,4462,8785,3406
445,x0445_X,3964,9180,2787
446,x0446_X,4369,10418,3358
447,x0447_X,3990,9131,3350
448,x0448_X,4024,8694,3213
449,x0449_X,4357,9211,3452
450,x0450_X,4562,10049,3725
451,x0451_X,5519,10809,4582
452,x0452_X,4128,8560,3065
453,x0453_X,5212,9885,3624
454,x0454_X,4559,10174,3603
455,x0455_X,5425,11329,4156
456,x0456_X,4648,9529,3589
457,x0457_X,3203,7444,2394
458,x0458_X,4683,10247,3406
459,x0459_X,5415,10229,4057
460,x0460_X,4629,10418,3481
461,x0461_X,5020,8876,3682
462,x0462_X,5862,12073,4431
463,x0463_X,5200,10817,3883
464,x0464_X,4538,9288,3565
465,x0465_X,4929,9731,3676
466,x0466_X,5080,11764,3659
467,x0467_X,5103,11790,4222
468,x0468_X,5514,11140,4256
469,x0469_X,3633,8385,3033
470,x0470_X,5057,9737,4316
471,x0471_X,4616,10155,3757
472,x0472_X,6388,13407,5181
473,x0473_X,4931,9077,3758
474,x0474_X,5230,10164,4307
475,x0475_X,4758,9996,3582
476,x0476_X,4021,9796,3203
477,x0477_X,6078,13331,4462
478,x0478_X,4963,11221,3916
479,x0479_X,4335,10722,3088
480,x0480_X,4867,9011,3888
481,x0481_X,3555,8183,2968
482,x0482_X,3799,7138,2758
483,x0483_X,4747,8835,3996
484,x0484_X,4275,9258,3487
485,x0485_X,4845,9267,3843
486,x0486_X,4641,9838,3666
487,x0487_X,4335,8816,3685
488,x0488_X,3853,8211,3336
489,x0489_X,5120,10372,4011
490,x0490_X,4352,9374,3479
491,x0491_X,4849,10718,4134
492,x0492_X,4883,10986,4231
493,x0493_X,4577,9923,3645
494,x0494_X,4137,9159,3357
495,x0495_X,5636,11812,4288
496,x0496_X,3977,9463,3580
497,x0497_X,4889,9371,3695
498,x0498_X,4395,9071,3187
499,x0499_X,5096,11385,4022
500,x0500_X,4783,9961,3977
501,x0501_X,5353,11250,4307
502,x0502_X,3921,8464,3191
503,x0503_X,4359,9701,3895
504,x0504_X,4199,8320,3057
505,x0505_X,4415,10261,3660
506,x0506_X,4250,10862,3033
507,x0507_X,4478,9680,3420
508,x0508_X,4419,10447,4049
509,x0509_X,4386,10152,3228
510,x0510_X,4154,10123,3301
511,x0511_X,4508,10577,3830
512,x0512_X,5164,10986,3950
513,x0513_X,5204,11290,4009
514,x0514_X,5275,11959,3676
515,x0515_X,3816,7361,3019
516,x0516_X,4603,9439,3913
517,x0517_X,3780,7869,3576
518,x0518_X,4107,8684,3499
519,x0519_X,4114,8653,3704
520,x0520_X,3983,8744,3383
521,x0521_X,4348,8990,4053
522,x0522_X,4303,9449,3826
523,x0523_X,4147,8847,3296
524,x0524_X,5063,11049,3988
525,x0525_X,5170,11021,4719
526,x0526_X,4849,10160,3906
527,x0527_X,3823,9121,2809
528,x0528_X,4362,9379,3095
529,x0529_X,4648,10311,4544
530,x0530_X,5091,11184,4635
531,x0531_X,4424,8829,3400
532,x0532_X,5824,10929,5192
533,x0533_X,4812,9430,4094
534,x0534_X,5163,10825,4313
535,x0535_X,4458,9767,3730
536,x0536_X,4443,9707,3616
537,x0537_X,3888,10003,3129
538,x0538_X,4675,9337,3754
539,x0539_X,3764,8413,3048
540,x0540_X,4042,7633,3203
541,x0541_X,5543,11785,4200
542,x0542_X,4997,10877,4226
543,x0543_X,4045,8492,3573
544,x0544_X,3452,8315,2768
545,x0545_X,4869,10310,3931
546,x0546_X,4337,10181,3437
547,x0547_X,4875,9628,3642
548,x0548_X,5222,9238,4261
549,x0549_X,3237,7428,2538
550,x0550_X,3635,7812,2749
551,x0551_X,4926,10269,4111
552,x0552_X,4506,9556,3893
553,x0553_X,4039,9068,3729
554,x0554_X,5734,10816,4360
555,x0555_X,4973,10998,3929
556,x0556_X,5736,11640,4360
557,x0557_X,4528,9873,3554
558,x0558_X,4803,10208,3710
559,x0559_X,5615,11873,4457
560,x0560_X,4778,10866,3466
561,x0561_X,4649,12022,3429
562,x0562_X,5147,11006,3548
563,x0563_X,5370,11151,3379
564,x0564_X,6770,12419,4901
565,x0565_X,5402,10784,3714
566,x0566_X,5488,10467,3945
567,x0567_X,5332,10366,3608
568,x0568_X,6269,12612,3910
569,x0569_X,6760,12675,4218
570,x0570_X,5022,10816,3077
571,x0571_X,6273,11914,3549
572,x0572_X,5367,11586,3550
573,x0573_X,6624,12679,4568
574,x0574_X,5788,12312,3845
