,protid,P,S,C
0,x0000_X,65,135,31
1,x0001_X,67,277,34
2,x0002_X,88,289,29
3,x0003_X,98,273,35
4,x0004_X,119,374,35
5,x0005_X,83,266,29
6,x0006_X,111,301,53
7,x0007_X,119,241,46
8,x0008_X,164,332,65
9,x0009_X,168,373,54
10,x0010_X,144,306,46
11,x0011_X,149,397,49
12,x0012_X,150,328,50
13,x0013_X,154,424,52
14,x0014_X,155,423,52
15,x0015_X,145,332,51
16,x0016_X,187,434,82
17,x0017_X,219,460,101
18,x0018_X,198,428,77
19,x0019_X,200,330,100
20,x0020_X,221,439,120
21,x0021_X,305,671,152
22,x0022_X,280,630,125
23,x0023_X,204,405,94
24,x0024_X,192,418,93
25,x0025_X,217,533,111
26,x0026_X,182,467,92
27,x0027_X,228,580,95
28,x0028_X,174,381,75
29,x0029_X,247,609,134
30,x0030_X,169,410,87
31,x0031_X,198,389,79
32,x0032_X,183,482,76
33,x0033_X,205,521,94
34,x0034_X,222,634,134
35,x0035_X,176,472,93
36,x0036_X,221,702,112
37,x0037_X,259,760,109
38,x0038_X,237,729,115
39,x0039_X,289,845,141
40,x0040_X,283,885,158
41,x0041_X,283,821,121
42,x0042_X,280,817,128
43,x0043_X,267,858,150
44,x0044_X,234,763,131
45,x0045_X,266,790,120
46,x0046_X,223,628,95
47,x0047_X,258,745,125
48,x0048_X,265,702,114
49,x0049_X,230,683,122
50,x0050_X,233,679,123
51,x0051_X,252,700,129
52,x0052_X,235,678,122
53,x0053_X,307,897,174
54,x0054_X,193,522,105
55,x0055_X,189,603,111
56,x0056_X,212,614,120
57,x0057_X,254,707,120
58,x0058_X,235,589,122
59,x0059_X,250,635,150
60,x0060_X,269,661,151
61,x0061_X,266,746,164
62,x0062_X,272,730,126
63,x0063_X,249,739,140
64,x0064_X,280,727,121
65,x0065_X,263,683,135
66,x0066_X,256,729,143
67,x0067_X,243,613,134
68,x0068_X,293,730,153
69,x0069_X,272,756,148
70,x0070_X,245,666,124
71,x0071_X,249,664,122
72,x0072_X,226,606,114
73,x0073_X,275,694,159
74,x0074_X,265,718,145
75,x0075_X,256,665,114
76,x0076_X,249,671,115
77,x0077_X,229,597,120
78,x0078_X,241,555,107
79,x0079_X,203,511,106
80,x0080_X,228,624,94
81,x0081_X,248,590,108
82,x0082_X,243,574,129
83,x0083_X,213,626,107
84,x0084_X,216,575,112
85,x0085_X,231,635,124
86,x0086_X,187,525,108
87,x0087_X,295,864,167
88,x0088_X,205,541,74
89,x0089_X,257,700,124
90,x0090_X,208,596,99
91,x0091_X,203,564,94
92,x0092_X,246,704,131
93,x0093_X,211,610,82
94,x0094_X,205,495,80
95,x0095_X,215,647,128
96,x0096_X,222,568,113
97,x0097_X,246,606,94
98,x0098_X,192,508,80
99,x0099_X,280,714,134
100,x0100_X,237,678,120
101,x0101_X,265,681,135
102,x0102_X,254,614,122
103,x0103_X,248,597,101
104,x0104_X,246,660,129
105,x0105_X,285,761,130
106,x0106_X,197,559,105
107,x0107_X,196,587,120
108,x0108_X,225,584,94
109,x0109_X,179,456,68
110,x0110_X,208,571,124
111,x0111_X,216,586,101
112,x0112_X,213,612,121
113,x0113_X,221,669,145
114,x0114_X,260,687,134
115,x0115_X,279,728,169
116,x0116_X,241,624,125
117,x0117_X,310,851,165
118,x0118_X,275,683,170
119,x0119_X,222,654,159
120,x0120_X,222,665,148
121,x0121_X,309,877,192
122,x0122_X,291,746,139
123,x0123_X,274,684,123
124,x0124_X,311,843,172
125,x0125_X,294,816,165
126,x0126_X,299,746,131
127,x0127_X,288,813,174
128,x0128_X,251,721,156
129,x0129_X,296,737,192
130,x0130_X,300,899,179
131,x0131_X,318,869,191
132,x0132_X,323,848,155
133,x0133_X,291,737,148
134,x0134_X,282,767,176
135,x0135_X,395,1049,267
136,x0136_X,351,921,213
137,x0137_X,420,1122,228
138,x0138_X,474,1209,270
139,x0139_X,467,1192,294
140,x0140_X,402,1036,215
141,x0141_X,404,1154,212
142,x0142_X,494,1237,285
143,x0143_X,524,1352,335
144,x0144_X,486,1230,300
145,x0145_X,478,1251,287
146,x0146_X,415,1113,242
147,x0147_X,478,1322,280
148,x0148_X,528,1331,286
149,x0149_X,494,1302,284
150,x0150_X,497,1276,307
151,x0151_X,448,1124,258
152,x0152_X,509,1320,316
153,x0153_X,442,1313,261
154,x0154_X,475,1529,274
155,x0155_X,426,1413,306
156,x0156_X,498,1523,325
157,x0157_X,552,1694,310
158,x0158_X,464,1423,258
159,x0159_X,499,1592,324
160,x0160_X,460,1413,272
161,x0161_X,514,1567,334
162,x0162_X,527,1838,336
163,x0163_X,485,1731,340
164,x0164_X,533,1738,357
165,x0165_X,527,1551,337
166,x0166_X,602,2006,395
167,x0167_X,653,1973,455
168,x0168_X,619,2129,412
169,x0169_X,617,2031,433
170,x0170_X,609,2100,451
171,x0171_X,573,1885,392
