,protid,P,S,C
0,x0000_X,4170,19403,2078
1,x0001_X,3560,19961,2130
2,x0002_X,2687,17855,1613
3,x0003_X,3249,17849,1693
4,x0004_X,4220,21306,2440
5,x0005_X,3896,23574,2665
6,x0006_X,3822,22801,2538
7,x0007_X,4064,23085,2497
8,x0008_X,3663,18017,1973
9,x0009_X,3331,18679,2080
10,x0010_X,3736,18866,2151
11,x0011_X,3679,21533,2518
12,x0012_X,3420,19067,2044
13,x0013_X,4508,23574,2299
14,x0014_X,4307,21175,2013
15,x0015_X,4167,22370,1904
16,x0016_X,4255,23232,2159
17,x0017_X,3664,19038,1829
18,x0018_X,4118,18799,2059
19,x0019_X,4495,20144,2157
20,x0020_X,4370,22625,2166
21,x0021_X,4193,22259,2228
22,x0022_X,4044,18358,1908
23,x0023_X,4460,22869,2317
24,x0024_X,4366,21063,2066
25,x0025_X,4771,22378,2497
26,x0026_X,4599,23444,2338
27,x0027_X,4649,22882,2359
28,x0028_X,4521,23195,2174
29,x0029_X,5022,23584,2270
30,x0030_X,4938,23403,2287
31,x0031_X,4382,21682,2139
32,x0032_X,4631,22737,2035
33,x0033_X,4549,21766,2365
34,x0034_X,4909,22674,2552
35,x0035_X,4983,23856,2286
36,x0036_X,4865,21918,2137
37,x0037_X,3966,20469,1900
38,x0038_X,4001,19735,1915
39,x0039_X,4602,22994,2294
40,x0040_X,3914,21015,2332
41,x0041_X,3972,20241,2122
42,x0042_X,4958,21441,2281
43,x0043_X,5081,22051,2271
44,x0044_X,5443,22484,2454
45,x0045_X,5139,23967,2269
46,x0046_X,5327,23188,2610
47,x0047_X,4561,20844,2090
48,x0048_X,5340,21621,2442
49,x0049_X,5114,22518,2749
50,x0050_X,5140,22721,2520
51,x0051_X,5221,23464,2690
52,x0052_X,5991,26193,2796
53,x0053_X,5068,23403,2405
54,x0054_X,5254,21805,2344
55,x0055_X,4766,20874,2326
56,x0056_X,4786,21940,2435
57,x0057_X,5228,22975,2425
58,x0058_X,4257,20315,2456
59,x0059_X,4743,23937,2445
60,x0060_X,4338,22533,2290
61,x0061_X,4845,25165,2630
62,x0062_X,5295,25586,2530
63,x0063_X,4445,22680,2036
64,x0064_X,5510,22376,2742
65,x0065_X,4857,22155,2391
66,x0066_X,5054,20847,2302
67,x0067_X,5372,22156,2362
68,x0068_X,4096,16668,1602
69,x0069_X,4831,17424,1835
70,x0070_X,6113,23195,2318
71,x0071_X,5654,18640,2271
72,x0072_X,5501,19573,2187
73,x0073_X,5766,19747,2217
74,x0074_X,5547,22133,2210
75,x0075_X,5726,19686,2554
76,x0076_X,6190,20877,2823
77,x0077_X,5896,19958,2349
78,x0078_X,5448,19798,2249
79,x0079_X,5282,17878,1816
80,x0080_X,5146,19424,2226
81,x0081_X,4857,19008,2241
82,x0082_X,5172,20722,2072
83,x0083_X,5425,19283,2088
84,x0084_X,5369,20226,2371
85,x0085_X,5129,18419,2330
86,x0086_X,4808,17981,1964
87,x0087_X,5627,21458,2318
88,x0088_X,5395,20458,2113
89,x0089_X,4806,18996,1849
90,x0090_X,4278,16079,1798
91,x0091_X,4490,17359,1804
92,x0092_X,4277,15533,1718
93,x0093_X,4077,15872,1996
94,x0094_X,3179,12225,1249
95,x0095_X,3702,12971,1282
96,x0096_X,3771,14058,1281
97,x0097_X,3566,14989,1746
98,x0098_X,3846,15525,1539
99,x0099_X,3544,16321,1663
100,x0100_X,3433,13414,1298
101,x0101_X,3926,15579,1405
102,x0102_X,5136,20990,1840
103,x0103_X,3817,14643,1440
104,x0104_X,3422,14440,1248
105,x0105_X,3485,13580,1463
106,x0106_X,3121,15138,1442
107,x0107_X,3579,14539,1583
108,x0108_X,2909,15350,1442
109,x0109_X,3436,15663,1607
110,x0110_X,2809,13563,1206
111,x0111_X,3557,15698,1451
112,x0112_X,3180,14667,1459
113,x0113_X,3314,14423,1373
114,x0114_X,2652,12664,1155
115,x0115_X,3062,13955,1319
116,x0116_X,3392,14774,1535
117,x0117_X,3555,16146,1827
118,x0118_X,3408,14494,1404
119,x0119_X,3186,14271,1458
120,x0120_X,2811,11611,1331
121,x0121_X,3996,17569,2088
122,x0122_X,3528,14479,1496
123,x0123_X,3077,13883,1376
124,x0124_X,2972,13311,1295
125,x0125_X,3699,16827,1840
126,x0126_X,3508,15478,1517
127,x0127_X,3730,18035,1888
128,x0128_X,3176,14156,1389
129,x0129_X,3159,15434,1507
130,x0130_X,2856,13989,1491
131,x0131_X,3949,17845,2077
132,x0132_X,4389,22515,2499
133,x0133_X,3890,19332,2203
134,x0134_X,4508,21453,2719
135,x0135_X,4204,18881,1891
136,x0136_X,3762,18537,1791
137,x0137_X,3395,17769,1627
138,x0138_X,4301,21244,1950
139,x0139_X,4503,20201,2092
140,x0140_X,4103,20405,2288
141,x0141_X,3891,16619,1645
142,x0142_X,3976,16784,1606
143,x0143_X,4611,18641,1948
144,x0144_X,4584,19673,1849
145,x0145_X,4099,18200,1791
146,x0146_X,3896,18754,1881
147,x0147_X,4462,21733,2008
148,x0148_X,4183,19996,1927
149,x0149_X,4247,18075,1549
150,x0150_X,3530,17396,1652
151,x0151_X,4286,19823,1769
152,x0152_X,4235,18188,1667
153,x0153_X,3553,15688,1465
154,x0154_X,3996,18771,1543
155,x0155_X,4030,20035,2041
156,x0156_X,3872,17203,1716
157,x0157_X,4366,18308,2079
158,x0158_X,4042,18216,2052
159,x0159_X,4899,22276,2471
160,x0160_X,4002,19404,2019
161,x0161_X,4356,20677,2228
162,x0162_X,4280,21663,2498
163,x0163_X,4535,23050,2550
164,x0164_X,4574,22644,2428
165,x0165_X,4307,22016,2838
166,x0166_X,3783,18272,2255
167,x0167_X,4733,21756,2914
168,x0168_X,4178,20824,2964
169,x0169_X,3692,19082,2426
170,x0170_X,4021,19282,2803
171,x0171_X,4999,23306,2820
172,x0172_X,4261,19270,2575
173,x0173_X,4374,20148,3208
174,x0174_X,4826,21801,3508
175,x0175_X,4707,21911,3272
176,x0176_X,4939,22754,3432
177,x0177_X,3265,16248,2223
178,x0178_X,4061,18135,2557
179,x0179_X,3801,16855,2349
180,x0180_X,4020,16982,2434
181,x0181_X,3333,15761,2021
182,x0182_X,3531,17146,2328
183,x0183_X,4452,15719,3049
184,x0184_X,4300,18945,2861
185,x0185_X,3785,16280,2090
186,x0186_X,3709,15228,2178
187,x0187_X,3444,13102,2369
188,x0188_X,3667,16248,2451
189,x0189_X,3243,16551,1942
190,x0190_X,2874,14111,1930
191,x0191_X,3215,16185,2128
192,x0192_X,4084,17216,2571
193,x0193_X,3790,16149,2427
194,x0194_X,3940,16754,2742
195,x0195_X,3544,14055,2501
196,x0196_X,4482,17045,3004
197,x0197_X,4124,17122,2844
198,x0198_X,3848,15780,2527
199,x0199_X,4430,18620,3056
200,x0200_X,3938,17240,2912
201,x0201_X,3672,14879,2564
202,x0202_X,4204,16957,2929
203,x0203_X,4105,16151,2749
204,x0204_X,4554,18341,3211
205,x0205_X,4495,16800,2795
206,x0206_X,4991,18390,3184
207,x0207_X,4691,16979,3306
208,x0208_X,4741,16688,2881
209,x0209_X,4357,16357,2722
210,x0210_X,4155,16573,2492
211,x0211_X,4665,16911,2955
212,x0212_X,4641,16824,2845
213,x0213_X,4778,19421,3296
214,x0214_X,4635,17149,2969
215,x0215_X,4251,16056,2484
216,x0216_X,4446,16558,2867
217,x0217_X,5129,18801,3331
218,x0218_X,3917,15833,2828
219,x0219_X,3544,15484,2293
220,x0220_X,3653,14785,2472
221,x0221_X,3159,13274,2095
222,x0222_X,4589,18931,3045
223,x0223_X,4418,18074,2708
224,x0224_X,4225,17154,2711
225,x0225_X,3356,13560,2194
226,x0226_X,3860,15098,2363
227,x0227_X,4132,15431,2803
228,x0228_X,4015,14878,2428
229,x0229_X,4764,17874,3013
230,x0230_X,4253,16883,2954
231,x0231_X,5001,19064,3430
232,x0232_X,4766,16197,2908
233,x0233_X,3329,13613,1779
234,x0234_X,3551,13676,1688
235,x0235_X,3861,15868,2007
236,x0236_X,3698,14571,2032
237,x0237_X,3620,14719,1962
238,x0238_X,3112,13578,1838
239,x0239_X,4020,18390,2566
240,x0240_X,3581,15773,1967
241,x0241_X,4555,14855,2326
242,x0242_X,3630,14653,2018
243,x0243_X,3920,15888,1928
244,x0244_X,4025,17293,2118
245,x0245_X,3860,16545,1961
246,x0246_X,3911,15858,2176
247,x0247_X,3687,15451,1772
248,x0248_X,4679,16707,2485
249,x0249_X,4041,16426,1899
250,x0250_X,4343,17385,2362
251,x0251_X,4520,20142,2599
252,x0252_X,4502,17919,2332
253,x0253_X,4009,17911,2170
254,x0254_X,4629,17846,2278
255,x0255_X,4425,16824,1971
256,x0256_X,4337,17829,2365
257,x0257_X,4466,18495,2239
258,x0258_X,3824,15736,1761
259,x0259_X,3871,16852,2068
260,x0260_X,3853,16721,2431
261,x0261_X,4440,19468,2657
262,x0262_X,4150,19523,2205
263,x0263_X,3610,17735,2091
264,x0264_X,4905,20248,2342
265,x0265_X,3355,15746,1809
266,x0266_X,4442,20171,2648
267,x0267_X,4733,19452,2150
268,x0268_X,4773,19688,2335
269,x0269_X,4454,19578,2074
270,x0270_X,4761,18511,2379
271,x0271_X,4943,19929,2623
272,x0272_X,4876,16459,1885
273,x0273_X,4414,18699,2087
274,x0274_X,4410,17014,2229
275,x0275_X,5517,20128,2796
276,x0276_X,5294,20159,2750
277,x0277_X,4132,18134,2044
278,x0278_X,4775,19177,2383
279,x0279_X,4692,21024,2487
280,x0280_X,4158,16661,1972
281,x0281_X,4416,17941,2174
282,x0282_X,4920,19693,2183
283,x0283_X,4512,17335,2024
284,x0284_X,4202,17867,2241
285,x0285_X,4554,19226,2555
286,x0286_X,4757,19815,2224
287,x0287_X,4996,18176,2028
288,x0288_X,4357,16599,2049
289,x0289_X,4208,17084,2144
290,x0290_X,4582,19528,2455
291,x0291_X,4090,17089,2257
292,x0292_X,4150,17178,2108
293,x0293_X,3683,14088,1930
294,x0294_X,3745,14151,1805
295,x0295_X,3628,15476,1602
296,x0296_X,3653,15198,1652
297,x0297_X,3725,15720,1670
298,x0298_X,3682,17004,1892
299,x0299_X,4536,17477,2297
300,x0300_X,4328,18096,2329
301,x0301_X,3851,16936,2004
302,x0302_X,4195,16260,2336
303,x0303_X,3933,17105,2398
304,x0304_X,4661,17957,2807
305,x0305_X,4847,18894,3055
306,x0306_X,4563,20392,3248
307,x0307_X,4317,17915,2968
308,x0308_X,4660,20584,3436
309,x0309_X,5173,18876,3212
310,x0310_X,5528,22376,3722
311,x0311_X,3984,15669,2502
312,x0312_X,5066,20861,3234
313,x0313_X,5226,20919,3501
314,x0314_X,4819,20272,3350
315,x0315_X,5396,22878,3857
316,x0316_X,5057,20002,3621
317,x0317_X,4884,18107,3344
318,x0318_X,5122,18918,3455
319,x0319_X,5124,22551,3700
320,x0320_X,5123,21660,3845
321,x0321_X,4967,20969,3710
322,x0322_X,4440,17153,2938
323,x0323_X,5175,20379,3126
324,x0324_X,5526,21592,3758
325,x0325_X,5092,17974,3040
326,x0326_X,5386,19986,3548
327,x0327_X,5243,20464,3939
328,x0328_X,5038,18110,3187
329,x0329_X,4673,18990,2902
330,x0330_X,4849,20123,3231
331,x0331_X,4907,20232,3064
332,x0332_X,4706,20391,2869
333,x0333_X,4550,18440,2888
334,x0334_X,5056,22246,3326
335,x0335_X,4913,20303,3225
336,x0336_X,5210,21017,3419
337,x0337_X,4814,20505,3122
338,x0338_X,5537,23642,3461
339,x0339_X,4952,22667,3506
340,x0340_X,5313,21183,3394
341,x0341_X,4661,19722,3112
342,x0342_X,4965,21771,3399
343,x0343_X,4651,20230,3322
344,x0344_X,4865,19810,3291
345,x0345_X,4611,21104,3205
346,x0346_X,5123,21262,3018
347,x0347_X,4050,16758,2628
348,x0348_X,5634,23639,3623
349,x0349_X,5053,21554,3528
350,x0350_X,5452,24339,3620
351,x0351_X,4071,17565,2674
352,x0352_X,4103,17861,2567
353,x0353_X,4425,20405,2900
354,x0354_X,5090,21481,3810
355,x0355_X,5132,20825,3689
356,x0356_X,5347,23265,3519
357,x0357_X,4681,22902,3293
358,x0358_X,4358,20571,3037
359,x0359_X,5023,22207,3398
360,x0360_X,4677,21855,3114
361,x0361_X,4716,19743,3036
362,x0362_X,4571,20521,3111
363,x0363_X,4310,21114,3017
364,x0364_X,4732,22063,3095
365,x0365_X,4658,22038,2950
366,x0366_X,4303,21503,2874
367,x0367_X,4978,22674,3224
368,x0368_X,4785,20500,2918
369,x0369_X,5275,23136,3215
370,x0370_X,4381,20848,2737
371,x0371_X,4954,23616,3308
372,x0372_X,5207,25958,3815
373,x0373_X,4545,22720,3116
374,x0374_X,4651,23398,3326
375,x0375_X,4666,21111,3143
376,x0376_X,4762,22740,2879
377,x0377_X,5076,22602,3198
378,x0378_X,4821,23301,3003
379,x0379_X,5246,23913,3226
380,x0380_X,5054,22320,3007
381,x0381_X,4517,20024,2720
382,x0382_X,4643,21561,2716
383,x0383_X,4302,20543,2650
384,x0384_X,4519,23012,3097
385,x0385_X,4271,21135,3035
386,x0386_X,5468,25847,3138
387,x0387_X,4825,22961,3090
388,x0388_X,5050,23851,3230
389,x0389_X,5030,21967,3138
390,x0390_X,5506,21036,2861
391,x0391_X,4968,21218,2975
392,x0392_X,5849,25805,3857
393,x0393_X,3797,17235,2404
394,x0394_X,4994,24329,3062
395,x0395_X,5227,22897,3001
396,x0396_X,5471,21172,2760
397,x0397_X,4446,18704,2728
398,x0398_X,5126,22788,2962
399,x0399_X,4884,23178,3063
400,x0400_X,4959,22252,2679
401,x0401_X,5028,21828,3034
402,x0402_X,4631,19848,2782
403,x0403_X,5140,22124,3117
404,x0404_X,4339,20939,2688
405,x0405_X,4356,19995,2677
406,x0406_X,4703,22554,2878
407,x0407_X,4062,19822,2451
408,x0408_X,4071,19661,2374
409,x0409_X,4505,21771,2404
410,x0410_X,4155,17890,2045
411,x0411_X,3661,18247,1963
412,x0412_X,4207,22670,2526
413,x0413_X,4225,21054,2216
