,protid,P,S,C
0,x0000_ ,1,6,3
1,x0001_ ,0,2,1
2,x0002_ ,0,2,1
3,x0003_ ,1,2,0
4,x0004_ ,1,6,3
5,x0005_ ,1,0,2
6,x0006_ ,2,8,5
7,x0007_ ,1,3,2
8,x0008_ ,1,3,2
9,x0009_ ,0,2,1
10,x0010_ ,1,4,1
11,x0011_ ,1,3,2
12,x0012_ ,1,6,3
13,x0013_ ,19,32,4
14,x0014_ ,30,44,17
15,x0015_ ,8,20,8
16,x0016_ ,21,21,3
17,x0017_ ,16,66,23
18,x0018_ ,7,26,3
19,x0019_ ,37,70,29
20,x0020_ ,17,32,6
21,x0021_ ,11,27,7
22,x0022_ ,17,41,8
23,x0023_ ,10,45,11
24,x0024_ ,8,45,13
25,x0025_ ,4,21,3
26,x0026_ ,26,92,18
27,x0027_ ,41,133,57
28,x0028_ ,47,132,31
29,x0029_ ,13,65,27
30,x0030_ ,42,130,59
31,x0031_ ,70,105,56
32,x0032_ ,34,122,54
33,x0033_ ,22,62,36
34,x0034_ ,30,73,33
35,x0035_ ,21,84,31
36,x0036_ ,59,144,50
37,x0037_ ,57,111,63
38,x0038_ ,73,101,79
39,x0039_ ,74,126,100
40,x0040_ ,61,127,65
41,x0041_ ,69,127,104
42,x0042_ ,35,85,33
43,x0043_ ,27,49,29
44,x0044_ ,41,111,38
45,x0045_ ,55,109,67
46,x0046_ ,27,100,44
47,x0047_ ,92,159,100
48,x0048_ ,50,94,46
49,x0049_ ,54,120,57
50,x0050_ ,66,98,89
51,x0051_ ,23,62,35
52,x0052_ ,34,77,25
53,x0053_ ,69,115,69
54,x0054_ ,78,123,75
55,x0055_ ,73,142,85
56,x0056_ ,74,101,78
57,x0057_ ,76,76,58
58,x0058_ ,65,164,96
59,x0059_ ,42,121,68
60,x0060_ ,60,163,102
61,x0061_ ,47,97,46
62,x0062_ ,63,84,106
63,x0063_ ,77,157,117
64,x0064_ ,62,122,47
65,x0065_ ,45,89,37
66,x0066_ ,76,162,62
67,x0067_ ,48,129,33
68,x0068_ ,42,125,43
69,x0069_ ,59,81,31
70,x0070_ ,37,74,42
71,x0071_ ,50,141,62
72,x0072_ ,46,101,63
73,x0073_ ,68,98,65
74,x0074_ ,57,172,71
75,x0075_ ,79,216,83
76,x0076_ ,54,88,48
77,x0077_ ,73,153,50
78,x0078_ ,24,72,24
79,x0079_ ,72,182,71
80,x0080_ ,68,159,73
81,x0081_ ,80,150,95
82,x0082_ ,55,132,66
83,x0083_ ,57,166,53
84,x0084_ ,87,212,107
85,x0085_ ,88,182,108
86,x0086_ ,80,200,98
87,x0087_ ,58,152,66
88,x0088_ ,66,222,63
89,x0089_ ,47,124,60
90,x0090_ ,70,161,45
91,x0091_ ,76,115,62
92,x0092_ ,57,104,49
93,x0093_ ,47,134,50
94,x0094_ ,51,114,45
95,x0095_ ,24,58,23
96,x0096_ ,66,114,73
97,x0097_ ,84,124,68
98,x0098_ ,40,120,50
99,x0099_ ,55,123,53
100,x0100_ ,53,128,50
101,x0101_ ,103,140,108
102,x0102_ ,79,130,91
103,x0103_ ,92,129,79
104,x0104_ ,77,127,96
105,x0105_ ,84,173,68
106,x0106_ ,103,242,90
107,x0107_ ,96,231,79
108,x0108_ ,64,113,54
109,x0109_ ,55,99,17
110,x0110_ ,40,126,24
111,x0111_ ,54,137,40
112,x0112_ ,107,187,84
113,x0113_ ,115,160,76
114,x0114_ ,135,163,80
115,x0115_ ,120,190,96
116,x0116_ ,134,149,95
117,x0117_ ,125,141,85
118,x0118_ ,170,154,82
119,x0119_ ,196,131,79
120,x0120_ ,105,152,68
121,x0121_ ,110,145,45
122,x0122_ ,115,147,38
123,x0123_ ,128,201,49
