,protid,P,S,C
0,x0000_ ,2,3,1
1,x0001_ ,0,0,0
2,x0002_ ,1,0,0
3,x0003_ ,0,1,0
4,x0004_ ,0,3,0
5,x0005_ ,0,0,0
6,x0006_ ,0,0,0
7,x0007_ ,0,1,0
8,x0008_ ,0,1,0
9,x0009_ ,0,0,0
10,x0010_ ,0,0,0
11,x0011_ ,0,0,0
12,x0012_ ,15,0,0
13,x0013_ ,8,0,2
14,x0014_ ,19,24,12
15,x0015_ ,26,16,24
16,x0016_ ,49,0,71
17,x0017_ ,11,20,14
18,x0018_ ,26,22,30
19,x0019_ ,36,36,19
20,x0020_ ,60,34,11
21,x0021_ ,28,37,1
22,x0022_ ,44,21,1
23,x0023_ ,21,37,20
24,x0024_ ,43,107,40
25,x0025_ ,91,219,68
26,x0026_ ,86,195,70
27,x0027_ ,60,144,27
28,x0028_ ,50,125,15
29,x0029_ ,48,116,26
30,x0030_ ,30,110,31
31,x0031_ ,94,305,66
32,x0032_ ,103,211,37
33,x0033_ ,53,144,34
34,x0034_ ,43,158,30
35,x0035_ ,51,163,39
36,x0036_ ,62,139,30
37,x0037_ ,28,66,26
38,x0038_ ,117,124,35
39,x0039_ ,17,24,14
40,x0040_ ,33,26,32
41,x0041_ ,28,15,23
42,x0042_ ,18,19,8
43,x0043_ ,104,166,30
44,x0044_ ,95,109,27
45,x0045_ ,52,91,28
46,x0046_ ,34,9,23
47,x0047_ ,64,60,47
48,x0048_ ,166,75,12
49,x0049_ ,41,46,18
50,x0050_ ,25,30,11
51,x0051_ ,39,28,24
52,x0052_ ,51,21,19
53,x0053_ ,69,166,65
54,x0054_ ,74,151,51
55,x0055_ ,99,173,79
56,x0056_ ,45,48,43
57,x0057_ ,43,103,44
58,x0058_ ,76,35,60
59,x0059_ ,61,57,35
60,x0060_ ,19,32,15
61,x0061_ ,29,20,29
62,x0062_ ,50,31,55
63,x0063_ ,80,201,70
64,x0064_ ,66,109,35
65,x0065_ ,72,113,46
66,x0066_ ,95,200,30
67,x0067_ ,89,171,40
68,x0068_ ,66,103,21
69,x0069_ ,38,77,21
70,x0070_ ,67,85,38
