,protid,P,S,C
0,x0000_ ,786,403,522
1,x0001_ ,1032,937,806
2,x0002_ ,1247,1235,1004
3,x0003_ ,1195,841,739
4,x0004_ ,1106,703,819
5,x0005_ ,590,314,636
6,x0006_ ,933,411,934
7,x0007_ ,1245,815,1343
8,x0008_ ,980,470,965
9,x0009_ ,1312,681,1167
10,x0010_ ,1387,776,1323
11,x0011_ ,1169,636,1198
12,x0012_ ,1505,558,1423
13,x0013_ ,1668,581,1492
14,x0014_ ,1626,484,1211
15,x0015_ ,1899,771,1608
16,x0016_ ,1400,463,1218
17,x0017_ ,1742,588,1765
18,x0018_ ,1809,563,1456
19,x0019_ ,1584,621,1281
20,x0020_ ,2169,910,1772
21,x0021_ ,1599,837,1305
22,x0022_ ,1867,523,1180
23,x0023_ ,1906,865,1324
24,x0024_ ,1764,579,1312
25,x0025_ ,2060,522,1246
26,x0026_ ,1702,664,1037
27,x0027_ ,1648,393,1362
28,x0028_ ,1914,667,1424
29,x0029_ ,2068,663,1364
30,x0030_ ,1825,988,1465
31,x0031_ ,1823,384,1363
32,x0032_ ,1702,425,1443
33,x0033_ ,1741,562,1613
34,x0034_ ,1468,748,1105
35,x0035_ ,1955,530,1793
36,x0036_ ,1651,347,1405
37,x0037_ ,2501,445,1614
38,x0038_ ,1854,297,1504
39,x0039_ ,2047,740,1773
40,x0040_ ,2418,460,1875
41,x0041_ ,2439,731,1981
42,x0042_ ,2279,529,1752
43,x0043_ ,1595,375,1190
44,x0044_ ,2336,830,1985
45,x0045_ ,2427,553,1580
46,x0046_ ,2071,924,1856
47,x0047_ ,2074,654,1737
48,x0048_ ,2263,878,1809
49,x0049_ ,2192,724,1644
50,x0050_ ,2723,888,1954
51,x0051_ ,2571,1309,1580
52,x0052_ ,1938,988,1634
53,x0053_ ,2710,1406,1770
54,x0054_ ,2488,1285,1687
55,x0055_ ,2995,1296,1704
56,x0056_ ,3232,1350,1413
57,x0057_ ,2675,927,1249
58,x0058_ ,3787,1177,1591
59,x0059_ ,4203,1501,1922
60,x0060_ ,3469,1058,1468
61,x0061_ ,4646,1389,1715
62,x0062_ ,3855,1152,1434
63,x0063_ ,4619,1269,1615
64,x0064_ ,5027,1495,2124
65,x0065_ ,4269,1218,1653
66,x0066_ ,4083,1531,2012
67,x0067_ ,3298,1066,1522
68,x0068_ ,3296,1118,1691
69,x0069_ ,2850,1318,1718
70,x0070_ ,3062,1677,1931
71,x0071_ ,2926,911,1728
72,x0072_ ,2073,859,1439
73,x0073_ ,2711,1225,2059
74,x0074_ ,2945,1443,1828
75,x0075_ ,2253,844,1754
76,x0076_ ,2770,1073,1617
77,x0077_ ,2658,1087,1611
78,x0078_ ,2502,783,1665
79,x0079_ ,3191,1685,2027
80,x0080_ ,3685,1678,2387
81,x0081_ ,2452,807,1397
82,x0082_ ,2553,824,1673
83,x0083_ ,2332,777,1547
84,x0084_ ,2669,919,1665
85,x0085_ ,2600,780,1771
86,x0086_ ,2179,746,1635
87,x0087_ ,2156,502,1620
88,x0088_ ,2851,1084,1951
89,x0089_ ,2602,812,1636
90,x0090_ ,2863,1098,1499
91,x0091_ ,2787,825,1641
92,x0092_ ,2919,944,2023
93,x0093_ ,2547,855,1648
94,x0094_ ,3266,808,1812
95,x0095_ ,3295,662,1503
96,x0096_ ,2865,864,1321
97,x0097_ ,3007,785,1564
98,x0098_ ,4468,1031,1882
99,x0099_ ,2651,846,1159
100,x0100_ ,3651,1350,1440
101,x0101_ ,2625,769,1359
102,x0102_ ,3254,1029,1388
103,x0103_ ,3820,1161,1235
104,x0104_ ,3596,585,1597
105,x0105_ ,3364,687,1305
106,x0106_ ,3157,767,1329
107,x0107_ ,3311,676,963
108,x0108_ ,4766,862,1275
109,x0109_ ,3993,884,1228
110,x0110_ ,3488,909,959
111,x0111_ ,3900,1067,1138
112,x0112_ ,3614,954,1103
113,x0113_ ,3887,757,1027
114,x0114_ ,3092,614,1145
115,x0115_ ,4430,912,1561
116,x0116_ ,4088,966,1732
117,x0117_ ,3417,848,1406
118,x0118_ ,4117,768,1901
119,x0119_ ,4240,848,1815
120,x0120_ ,3808,865,1543
