,C factor
0,0.02915438172790616
1,0.015815970730397422
2,0.038414655544757585
3,0.018586556468529598
4,0.020339679161592964
5,0.012484455744872412
6,0.014593618344200289
7,0.008693223080477984
8,0.009314785165827668
9,0.012935185185185187
10,0.016666666666666666
11,0.010626894729523014
12,0.008891250768348428
13,0.01356464241593552
14,0.0148424331969228
15,0.010895998410499779
16,0.007501778544570592
17,0.03499007194848817
18,0.037378648565234
19,0.035126618170673043
20,0.045953808576694566
21,0.23232659461214558
22,0.1761434680600046
23,0.19204693265758346
24,0.043492690984538805
25,0.12153519544739602
26,0.12677255262563716
27,0.18956965789803637
28,0.025829039031578776
29,0.03527015850378481
30,0.017110911982068593
31,0.019489192625556265
32,0.02145592808077254
33,0.018416884224450016
34,0.013012027377010833
35,0.013678708843479716
36,0.02737741995782474
37,0.014248451688923958
38,0.013133288560790124
39,0.017721036207406428
40,0.021263452835681564
41,0.012199711236475943
42,0.0061728219696969705
43,0.015020256108717649
44,0.012255429108969585
45,0.017960967147262082
46,0.05031672505898204
47,0.03673088749625338
48,0.03162556227636273
49,0.033435019073457924
50,0.012639033096628106
51,0.025217329418995155
52,0.012726879988293426
53,0.01354125485846438
54,0.020294798554619985
55,0.01565952238973019
56,0.01941769005319666
57,0.016012547138946856
58,0.017021741537212094
59,0.010159536458331985
60,0.013904377104377107
61,0.010325412533968749
62,0.012020167490555936
63,0.01191551235316018
64,0.01322453143317711
65,0.017269834989386928
66,0.0152943934792659
67,0.010574420288580397
68,0.02138158478628702
69,0.021577632778276932
70,0.011839634902134903
71,0.010623377632291155
72,0.0195620196779572
73,0.006427083333333333
74,0.006794258832565284
75,0.012748271037905186
76,0.008972226030173083
77,0.010629765203020279
78,0.015471989011929735
79,0.013296641081541704
80,0.017258481492977977
81,0.03586148479095907
82,0.030435486955117826
83,0.03485904844756519
84,0.011632166782570877
85,0.015000978187275112
86,0.018513448487436232
87,0.024546160181803143
88,0.021353738079458336
89,0.01306079116822871
90,0.015072948004577211
91,0.01811076127819549
92,0.009598039786993275
93,0.010245791245791246
94,0.017078063403883077
95,0.018502518245934265
96,0.017597472291900753
97,0.028355606934934142
98,0.028686934351196507
99,0.02509758899351241
100,0.013588386165210417
101,0.009807410580150397
102,0.021615910169066874
103,0.018019191327969843
104,0.009798741059105196
105,0.011681082468853604
106,0.01911290735982567
107,0.018329303248704704
108,0.015589077310699952
109,0.023426938808304397
110,0.015277715747272198
111,0.006316810344827587
112,0.007955217362090978
113,0.028665877196790444
114,0.009595636152191531
115,0.012832712753075659
116,0.023501315529024885
117,0.011776523854834764
118,0.009267857142857144
119,0.0087037423937095
120,0.028647486772486772
121,0.021689261642156864
122,0.030985960014220888
123,0.017331303321434902
124,0.01054915576464438
125,0.03558085757160091
126,0.05995689209693469
127,0.022265515820657427
128,0.013526598426096792
129,0.015381697291638324
130,0.013673354884796535
131,0.03175838655787848
132,0.05798373591946199
133,0.00806046124290172
134,0.02466507014609718
135,0.020431612198957706
136,0.014278414818565208
137,0.01886716379670506
138,0.04154061699165876
139,0.028410349816875305
140,0.020424186878650427
141,0.0386152835397627
142,0.010105641416302753
143,0.009681777662755926
144,0.03378517718236819
145,0.011371598457430012
146,0.015430229986731533
147,0.045659468207016905
148,0.27803832964937353
149,0.010865300213278934
150,0.03810670096869939
151,0.03891533070841262
152,0.020539464411557434
153,0.00525
154,0.005
155,0.009162720097146328
156,0.020325
157,0.006538461538461539
158,
159,0.010089285714285714
160,0.05823127768214317
161,0.09882057631463013
162,0.29066584211553476
163,0.2311434421526519
164,0.02724865191736317
165,0.10347076955482128
166,0.06140383986928106
167,0.37236451612903226
168,0.012136554621848738
169,0.012558473437844242
170,0.010283762274578397
171,0.012920219977175074
172,0.024921658751696066
173,0.030088347367500066
174,0.010569946058148783
175,0.011263968466174348
176,0.014216571313168856
177,0.010610818875353761
178,0.01545570676706092
179,0.014696553446553446
180,0.03685431677177002
181,0.018683302852734226
182,0.014962549592137702
183,0.03169767393557675
184,0.03164868694071006
185,0.04853244135240795
186,0.036993399803493275
187,0.029139565977547046
188,0.021097367909867912
189,0.01776970331296489
190,0.029390977642651146
191,0.013425202448030766
192,0.055197537401342055
193,0.04910647077836794
194,0.02887859264250772
195,0.02387395176629736
196,0.027317451077587433
197,0.023459607563173286
198,0.013607262025436686
199,0.009807708181224443
200,0.015251131942118483
201,0.015552818561933473
202,0.022676832173566395
203,0.013985993464365213
204,0.016416532804437587
205,0.01357962738623352
206,0.018690560511008366
207,0.020451569822358698
208,0.029716848071961708
209,0.0725488384796445
210,0.010570659353033257
211,0.007489817737501273
212,0.01681534036456805
213,0.023700475459000805
214,0.01938613463372235
215,0.013789862914862913
216,0.01183975965554913
217,0.012005821164672767
218,0.02801910540714689
219,0.01643277798558111
220,0.012972147950089129
221,0.026555555555555554
222,0.06746180555555556
223,0.02735968983668352
224,0.034328084388825314
225,0.011522252931695766
226,0.00847680189378373
227,0.008675000953198527
228,0.012595777817344462
229,0.012908371921384273
230,0.010755044543933431
231,0.016847612964088904
232,0.014590144558211787
233,0.01465083873514568
234,0.01898574296074296
235,0.024096882243885395
236,0.010483527131782947
237,0.0072860039791857985
238,0.018536282767029042
239,0.01273949370924438
240,0.011019793762380973
241,0.008962570086957342
242,0.07411954410113339
243,0.024401953395703398
244,0.04100867050783527
245,0.008277355535878264
246,0.010040499533146592
247,0.014325534751497835
248,0.0888045201825641
249,0.03980475374399309
250,0.02119140818113536
251,0.02175759643330066
252,0.007073750901875902
253,0.05504416382008194
254,0.02202895921773102
255,0.031015291631293993
256,0.006085224846795259
