,Cstar factor
0,0.198125
1,0.051000000000000004
2,0.27
3,0.08666666666666667
4,0.1625
5,0.042
6,0.064
7,0.015625
8,0.036666666666666674
9,0.09
10,0.035
11,0.023297872340425532
12,0.01597560975609756
13,0.04833333333333334
14,0.045000000000000005
15,0.02352564102564102
16,0.0129
17,0.20642857142857143
18,0.596
19,0.49416666666666664
20,0.370625
21,1.4975
22,1.4975
23,3.0
24,0.370625
25,1.4975
26,1.4975
27,3.0
28,0.15289473684210525
29,0.1781818181818182
30,0.10481481481481483
31,0.0843939393939394
32,0.15289473684210525
33,0.05966666666666667
34,0.03918367346938775
35,0.07615384615384616
36,0.13
37,0.04699999999999998
38,0.04525
39,0.06607142857142857
40,0.1037037037037037
41,0.039318181818181815
42,0.01
43,0.0985
44,0.06551724137931034
45,0.1037037037037037
46,0.18653846153846151
47,0.49583333333333335
48,0.22538461538461535
49,0.2825
50,0.029200000000000004
51,0.1065909090909091
52,0.02907894736842105
53,0.04750000000000001
54,0.10860000000000002
55,0.10809523809523812
56,0.13
57,0.05423913043478262
58,0.099
59,0.025
60,0.095
61,0.041666666666666664
62,0.038035714285714284
63,0.03483870967741935
64,0.08318181818181819
65,0.11645833333333333
66,0.0926923076923077
67,0.027533333333333333
68,0.17
69,0.1803125
70,0.047636363636363636
71,0.02420212765957446
72,0.08191176470588235
73,0.012135416666666668
74,0.015806451612903227
75,0.026041666666666668
76,0.03970588235294118
77,0.033947368421052636
78,0.05382352941176471
79,0.06258620689655173
80,0.08666666666666667
81,0.27
82,0.27
83,0.27
84,0.060666666666666674
85,0.1375
86,0.1375
87,0.20964285714285716
88,0.17088235294117649
89,0.08
90,0.05884615384615385
91,0.20964285714285716
92,0.025833333333333333
93,0.026420454545454542
94,0.07121621621621621
95,0.10232142857142858
96,0.05153846153846154
97,0.1803125
98,0.17
99,0.17088235294117649
100,0.05374999999999999
101,0.06548387096774191
102,0.1625
103,0.064
104,0.051666666666666666
105,0.02888888888888889
106,0.06548387096774191
107,0.06258620689655173
108,0.09116666666666666
109,0.11978260869565215
110,0.0508
111,0.011034482758620692
112,0.019999999999999997
113,0.11645833333333333
114,0.015000000000000001
115,0.03483870967741935
116,0.20928571428571427
117,0.08294117647058823
118,0.028750000000000005
119,0.018312500000000002
120,0.20928571428571427
121,0.08294117647058823
122,0.11
123,0.099
124,0.032352941176470584
125,0.37
126,0.4242857142857143
127,0.11
128,0.05897727272727273
129,0.05884615384615385
130,0.055
131,0.22115384615384612
132,0.735
133,0.014444444444444446
134,0.20642857142857143
135,0.10053571428571428
136,0.053703703703703705
137,0.05588235294117647
138,0.24625000000000002
139,0.2
140,0.07999999999999999
141,0.5199999999999999
142,0.036250000000000004
143,0.02005434782608696
144,0.13
145,0.024545454545454547
146,0.07367647058823529
147,0.4242857142857143
148,3.0
149,0.03128205128205129
150,0.10039999999999999
151,0.4071428571428571
152,0.08106060606060607
153,0.006000000000000002
154,0.005
155,0.015000000000000001
156,0.12166666666666666
157,0.006538461538461539
158,0.0
159,0.02
160,0.59125
161,0.74625
162,1.4675
163,3.0
164,0.2159090909090909
165,1.225
166,0.4908333333333334
167,1.4675
168,0.04
169,0.03676923076923077
170,0.019081632653061224
171,0.039
172,0.12340909090909093
173,0.294
174,0.023375
175,0.04452380952380953
176,0.0985
177,0.045
178,0.11578947368421054
179,0.08875
180,0.2825
181,0.1065909090909091
182,0.07225000000000001
183,0.36375
184,0.20857142857142857
185,0.49583333333333335
186,0.240625
187,0.199
188,0.14933333333333335
189,0.06551724137931034
190,0.16735294117647057
191,0.053541666666666675
192,0.4071428571428571
193,0.5199999999999999
194,0.294
195,0.11931818181818182
196,0.25375000000000003
197,0.10633333333333335
198,0.053750000000000006
199,0.03833333333333334
200,0.07225000000000001
201,0.037647058823529415
202,0.11799999999999998
203,0.04274193548387097
204,0.11931818181818182
205,0.035220588235294115
206,0.14263157894736841
207,0.16441176470588234
208,0.10499999999999998
209,0.9966666666666667
210,0.018271604938271603
211,0.01333333333333333
212,0.12173913043478259
213,0.13
214,0.12
215,0.04
216,0.033
217,0.04725
218,0.19833333333333333
219,0.08653846153846154
220,0.05450000000000001
221,0.1876923076923077
222,0.1613888888888889
223,0.07012820512820513
224,0.2173076923076923
225,0.020549450549450548
226,0.01910112359550562
227,0.02947761194029851
228,0.03290697674418605
229,0.045000000000000005
230,0.0322
231,0.08921052631578946
232,0.064
233,0.0753846153846154
234,0.10642857142857144
235,0.09125000000000001
236,0.021666666666666667
237,0.015
238,0.10642857142857144
239,0.045000000000000005
240,0.03933333333333334
241,0.02257575757575758
242,1.4975
243,0.07445945945945946
244,0.3
245,0.03486111111111111
246,0.04071428571428572
247,0.06233333333333334
248,1.4975
249,0.1733333333333333
250,0.1775
251,0.12500000000000003
252,0.008020833333333333
253,0.4125
254,0.20375000000000001
255,0.11
256,0.014500000000000002
257,0.07153846153846154
258,0.08812500000000001
259,0.010252525252525251
260,0.013000000000000001
261,0.149
262,0.10588235294117648
263,0.0498780487804878
264,0.06515151515151517
265,0.024324324324324326
266,0.032600000000000004
267,0.3
268,0.189
269,0.1055
270,0.4025
271,0.17923076923076925
272,0.19550000000000003
273,0.47583333333333333
274,0.7462500000000001
275,0.18714285714285714
276,0.32916666666666666
277,0.14928571428571427
278,0.20375000000000001
279,0.4125
280,0.5325
281,0.1775
282,0.17625000000000002
283,0.131
284,0.17923076923076925
285,3.0
286,0.7462500000000001
287,1.4975
288,3.0
289,3.0
290,0.01010204081632653
291,0.14525
292,0.9966666666666667
293,3.0
294,3.0
295,0.008333333333333333
296,0.04767857142857144
297,0.04000000000000001
298,0.4242857142857144
299,0.03324324324324324
300,3.0
301,0.01666666666666667
302,0.038510638297872345
303,0.010116279069767442
304,0.012063492063492066
305,0.015277777777777779
306,0.012874999999999998
307,0.011666666666666667
308,0.08907407407407407
309,0.02766666666666667
310,0.05457446808510639
311,0.4242857142857144
312,1.4975
313,0.07192307692307692
314,0.054782608695652164
315,3.0
316,0.74125
317,3.0
318,0.019655172413793106
319,0.32916666666666666
320,0.03083333333333333
321,0.4025
322,0.051250000000000004
323,0.05392857142857143
324,0.15794117647058825
325,0.2223076923076923
326,0.165
327,0.47333333333333333
328,0.068125
329,0.030869565217391304
330,0.04279411764705882
331,0.13785714285714284
332,0.26857142857142857
333,0.0753846153846154
334,0.05145833333333335
335,0.160625
336,0.1973076923076923
337,0.21055555555555555
338,0.09125000000000001
339,0.160625
340,0.1973076923076923
341,0.16166666666666668
342,0.08484848484848484
343,0.050512820512820515
344,1.4975
345,0.22944444444444445
346,0.29500000000000004
347,0.51625
348,1.4975
349,0.03833333333333334
350,0.4525
351,0.3
352,0.37062500000000004
353,0.010833333333333334
354,0.02176767676767677
355,0.7462500000000001
356,0.37062500000000004
357,1.4975
358,1.4975
359,0.19550000000000003
360,0.19499999999999998
361,3.0
362,3.0
363,0.47333333333333333
364,0.23833333333333334
365,0.13045454545454543
366,3.0
367,3.0
368,3.0
369,0.09124999999999998
370,1.4975
371,0.07964285714285714
372,0.06159090909090909
373,0.09450000000000001
374,0.06560606060606061
375,0.04636363636363637
376,0.31
377,0.03642857142857143
378,0.05700000000000001
379,0.03333333333333333
380,0.02389473684210526
381,0.07750000000000001
382,0.1676923076923077
383,0.20400000000000001
384,0.7200000000000001
385,0.05265306122448981
386,0.12409090909090909
387,0.04137096774193548
388,0.08907407407407407
389,0.366875
390,0.9950000000000001
391,0.08575757575757575
392,3.0
393,3.0
394,0.031455696202531636
395,0.011380597014925374
396,0.015344827586206894
397,0.20500000000000002
398,1.4975
399,0.9950000000000001
400,0.07964285714285714
401,0.075
402,0.06560606060606061
403,0.07543478260869564
404,0.13642857142857143
405,0.0125
406,1.4975
407,0.7462500000000001
408,0.016428571428571428
409,0.031911764705882355
410,0.09450000000000001
411,0.11799999999999997
412,0.22375000000000003
413,0.4525
414,0.22576923076923075
415,0.21166666666666664
416,0.085
417,0.14833333333333334
418,0.22312500000000002
419,0.034761904761904765
420,0.06458333333333333
421,0.178
422,0.17800000000000002
423,0.10974999999999999
424,0.14833333333333334
425,0.10805555555555554
426,0.51625
427,0.3
428,0.026734693877551022
429,0.020549450549450548
430,0.1613888888888889
431,0.1876923076923077
432,1.4975
433,3.0
434,3.0
435,1.4975
436,3.0
437,1.4975
438,3.0
439,0.03960526315789474
440,0.16272727272727272
441,0.01
442,0.017222222222222222
443,0.085
444,0.25818181818181823
445,0.2089285714285714
446,3.0
447,0.09625
448,1.4975
449,3.0
450,0.49583333333333335
451,0.2096428571428571
452,0.07051282051282051
453,0.07928571428571429
454,0.04294117647058824
455,0.08527777777777776
456,0.043666666666666666
457,0.03633333333333333
458,0.06426470588235295
459,0.03598214285714286
460,0.21199999999999997
461,0.12666666666666665
462,0.10666666666666667
